tweet	label
Wowe urabyumva neza cyane. Uko niko kuri rwose ibindi ni ugushakisha gusa!	positive
#BnBSports Muri Top umwanya bazawubona abasore ba Klopp barushwa na Leicester amanota mu gihe bakibitse umukino ? . FM	neutral
Abiyahura uravuze ngo babiterwa n'ibibazo byo mu mahanga?	negative
Aha ngizemo ubwoba ku biribwa/ibinyobwa bipfundikiye twirirwa tugotomera tutarebye ubuzirange bwabyo😒.	neutral
Uwo musaza ra ko numva uwamwegereza abafeminists bamukurugutura?	negative
jya wamamaza Ibyo unakoresha dore nguyu umumaro wa nibintu bigaragara neza knd bikeye	positive
Umusaza ninawe waduhaga show kera mu muziki akazana ibyamamare, bivuzeko za gishuti z'amavubi zajya ziba zikaze.	positive
Reba aho wavukiye umbwire icyari kuzakuvamo atari ukuba inkoramaso	negative
Bikomeye cyne, ku munsi wamanota narushak BillGate igikundiro🤣	positive
Wowe wari France muri ya WC yabereye Korea na Japan nakumvise	neutral
kirazira kurera umwana nkuko warezwe muhe Agaciro kagezweho nibwo nawe uzaba wihesheje Agaciro	positive
Umuhanzi Koffi Olomide ushinjwa gusambanya ababyinnyi be ku gahato yasabiwe gufungwa imyaka .	negative
na amakuru turikumva niyo? Murashaka guhuza Airtel Money na Mobile Money?	neutral
😉🙄 basi waba uzi ko kimwe mu bintu ntajya nkora ari ukubeshya?😊🙆 Basi bimenye Ubu.	positive
: Babangamiwe cyane n-uruganda rusatura amabuye ruri rwagati mu ngo.	neutral
Imyaka y’igihirahiro nyuma yo kuburana n’umuvandimwe n’umwana we muri Jenoside	neutral
""Ntago mvugana na bana naba mama babo mvugana na BIBI👑🔥"" ~B-THREY👑	neutral
DUTY ni filime nyarwanda ikoranye ubuhanga budasanzwe n'ubwo itakoreshejwe amafaranga menshi. Yatunganyijwe na REBA FRAME. #menya #Rwanda #Rwandan #RwOT	neutral
mwaramutse? Nagize umuriro kuri cash power ariko sinabonye token number kandi amafaranga yavuye kuri compte yanjye!	neutral
Kubera ibyangombwa nyine 😂burya nabahungu nicara bategeranije amaguru ni ukubera ibyangombwa	neutral
Ntago ubeshye rwose ni indamutsa arakaguhama wamfura we	positive
Mutumiwe muri Siporo rusange /CarFreeDay kuwa //. Izakorwa twirinda covid-. Imihanda ni yayindi isanzwe ikoreshwa, kuva h-h. Umwaka muhire wa	positive
Uyu munsi ninde wakubeshye nturabukwe? Cyangwa umunsi wo kubeshya waribagiranye!	negative
Ubona ari abaturage bafunga umutwe cg ni ubuyobozi butakoze ubukangurambaga uko bikwiye?	negative
#BnBSports #FIFAWCQ Nguko uko imikino ibanza y'ijonjora rya nyuma, ryo guhatanira kuzahagararira Afurika, mu gikombe cy'isi , yarangiye Ni izihe wifuriza gukomeza? #SimplySports	neutral
Iyo wegereye umunyemari nawe birangira agusize ubukire. Mubabwire bazagaruke murwa Gasabo batwubakire Ruhago yacu.	positive
MN iyo technics irikunkorera😱	positive
Ko umuteze iminota c?😂	negative
Ariko akokanu ngo inyebebe unyujijemo sisawa wangu	negative
Nawe irebere ibintu byatangaje abanyamahanga nabanyandwa Abantu byifashe kumunwa neza neza umuhungu stabilize🙄🙄🙄	neutral
Umpe ibyo nshyira umwana wacu nyabuna Aka gahungu n’inzara cherie mba nkuroga	neutral
