tweet	label
مبعوث الأمم المتحدة للصحرا: غادي ندير جولة إقليمية بالمنطقة,	neutral
عاجل. القضاء الإداري حكم ضد شركة “أوزون” ومجلس جماعة عين الشقف. قرر توقيف الصفقة اللي كانو دوزو بيناتهم,	neutral
يالمذلولا الذل لي راكم عايشين فيه يكفيكم وزيادة اصبحتم أضحوكة العالم'	negative
salam laykhalikom bghitkom taawnoni ana halti daifa omafhalich oaandi banti mrida bmarad mozmin aandha lma faras	neutral
la hadi wydada al oumaa 😊 site naess makigoule walou wlaa maert wakhedine conge	neutral
o fin hiya sbah khir gama oltiha hh	neutral
walaynl tbonmhom santi mn dak lam mrofa rjlih mchat w maydch ylb ktr mn matchs w houa mprete wilshere w mkhli lahattfo	neutral
hbiba momkin thaydi sora taniya o mathetihach ola chti chi had hatha golih ihayedha	neutral
wayeeh wella immeuble khayb fiine ayam roxy o olympia	neutral
و للاسف تاخذ الاموال من الشعب غصبا عنهم. لا نريد دفع اي ضريبة لها. '	negative
هه زوينة هادالهضرة علاه الحكومة مافراسها ماتعاود دابا الداخلية كاتخدم من راسها لاحول ولا قوة إلا بالله	negative
واش بغيتوهم يبداو يتكرفسو على العادي والبادي عاد تبقاو أنتما على خاطر خاطركم '	negative
لدينا تجارب لمثل مايقع الان من تشويش واشاعات وفتنة على المدرب وعلى اللاعبين نعم هناك أخطاء '	negative
البام ب لا زرقة و لا مرقة انشاء الله ضد في العدالة والتنمية	positive
délicieux mme samira setail bsaha o raha	positive
بسباب الزيادات فثمن المحروقات. الموزعين ديال الكَاز دايرين إضراب فجهة فاس مكناس وغادي يوقفو التوزيع فهاد الفترة,	neutral
جمهور العرجاء اوباش ومائتين الفتن في اي مدينة حمير الموقف'	negative
تفاصيل تفكيك “ريزو” كبير ديال النصب على متبرعين لتسوية تكاليف طبية فكازا: فيه مول كلينيك وعدد من المستخدمين,	neutral
lah yhfadni mn inikom almoaisin lah yhfadni khamsa w khmis liya w khlas😭	positive
نعم الشعب اعطى قلبه وثقته للبيجيدي لاكن البيجيدي عطاهم علاش ايقللبوا سرهم	negative
choma tbaw tjbdo sda rah oghniya ihab kaytssanto lha mgharba o hada wat oghniya maghribiya	positive
مع انعقاد دورة المجلس البلدي. قضية المستشار البلطجي رجعات للواجهة فسطات,	neutral
تأسيس جمعية “أصدقاء المغرب” فالمكسيك وتنظيم رواق مغربي على تنوع حرف صناعتنا التقليدية وها رد البوليساريو,	neutral
andi ir sawlt aloli momkin nsawt bnfs limayl fga lfiat saa mara kaytbl mara la glt ila andk chi al	neutral
