tweet	label
lool won ti lu werey yi pa you go carry wetin pass u later we go dey abuse short girls how she wan popo u like this	negative
nithank god i no sabi danceme sef na only today i hear dat kind song	positive
true talk how far naa if you no fit adopt me i fit dey sweep and mop innit	positive
the passenger don shit dia panties wow	negative
i want to apologise ahead for some seemingly ignorant things i may tweet in the future im human pls forgive me blast in my dm na me go use my hand come tl come apologise pls dont do what u did to falilat to me i fit kee myself oo me im not a strong person	negative
if any law student or practising lawyer open hisher mouth here again eehhnn na slap una go receive una oga dem don sell the country	positive
bruh my favs in order bank on it wetin dey sup no fit vex onyeka monsters you made time flies wonderful level up alarm clock way too big real life when i think about it its not even in order i no get fav las las	neutral
all of una wey dey settle mattermake una come heaven ok dem sey angel gabriel don sell trumpet na there we dey go now	negative
god i am so drained feels like ill faint sef	negative
im chilling in my balcony collecting fresh breeze this morning e be like say na wetin i go do today be that	positive
this woman here dey cough like she wan cough out her lungs abegi oh me i don go inside	negative
see this agbero you went to see a therapist for oshodi bus stop or ajegunle where you dey live agberos now know a therapist b b na only baba ijebu dem know	negative
no vex e don through i still get one sweet red go arrange nkwobi join am	positive
happy birthday adaeze billie aka dezibillions my last resort for inquiries on event planning things na madam ndi oga o ji smile e jide umu boys madam kee ebe m ga e meeti gi	positive
aligo abeg help me give akpors hot slap dis morning cus he no sabi anythingi vote aligo joor	negative
people just dey lie on sapa head ‍️ person wey we dey complain about sapa don leave me go cyprus ️ sapa nice one oo️	negative
be like say you dey craze i send you work na because of you dem dey send me condolence message	negative
boss mi i swear i no know how god take create u oo all i know is dat my god will judge u oo al dis good jamzz wey u dey give is non stop	negative
even the man wife dey vex for am e heart na stone	negative
babe make we gather beat dat person wey write dat tweet bcus d tin touch me my left kidneylol	negative
na catfish i do i no kill person saratu	negative
its icons not minding their business for me i hope they wont drag laycon into this nonsense now ‍ while we are here celebrating youre going to step on a sleeping dogs tail i don tire for una sef ‍	negative
i no fit burst for joy finally got her attention	positive
abroad ko abroad ni my account be looking like a hr clock if it was to be an airtime sef i cant even say hellohow far na me abeg call me back	negative
lol warri benin na travel no be all those ones sef its about you being able to live with others it was the first time most of you lived with other guys in the same room and all una gidi gidi na scam i ready rack all of una	positive
a lot gan we even dey demand more sef oloriburuku oshi una no go ever talk true lai lai	positive
when i dont have money i no dey at peace na why i dey sleep	negative
as human no want dey give there babies direct breast milk naso dogs self don innovate into something iconic dem just need the help of humans lobatan bayii vitamincole gamebman	negative
atiku be like saraki dis place go hot ooyou know say buhari no dey dat means say na me go carry lasti no go fit oo saraki baba na true oomake we quick waka comot	negative
