tweet	label
Meu Deus nesta caminhada haque ser firme em todas circunstâncias des mundo #ToEvangeliseChrist	neutral
Standard também tem bicha nesse perto da tvsucesso na de julho	neutral
Técnico de Controlo Interno Clica e concorre →	neutral
Rashford agora joga o que? Ele precisa sim de tempo! Vcs sabem que ele não vai ficar assim forever Até Ronaldo e messi passam por estas fases e nem por isso vocês lhes cancelam, porque sabem que existe o factor tempo!	neutral
Gramo Mng quando pessoas q “gostam de mim” vem ao meu DM pedir para eu apagar um tweet 😂😂	positive
Tudo o que nós fazemos, deve descrever a nossa eternidade. As nossas obras determinarão o nosso destino. #ResurrectionOfTheSaints	neutral
N há dia e nem lugar para bater esse rabo	neutral
Uma coisa é o bilhete e outra é tua identidade	neutral
Não tem nada de errado e chato aí. Vocês são chatos ya	negative
Te ajuda em sofrer ao querer beijar aquele mocinho alto bonitinho 🥴.	neutral
o trabalho feito, a caminho do segundo .	positive
Mas eu sei q não adiantaria. Você fez esse post com um objetivo e o conseguiste. Mesmo sabendo q nem todos gays são assim. Agora as pessoas vão usar essa imagem como munição para continuar a nos atacar e a justificativa que usarão é a de estarmos todos a desrespeitar a religião.	negative
Nada melhor que ficar rico com a mesma garota com quem você estava falido 💯	positive
O problema de muitos é procurar um emprego, não trabalho.	negative
Quer dizer referência de santidade. Referência de justiça. Referência de amor ao próximo. Isso é ser luz do mundo. #WordExpoInAngola	neutral
🌱 Tente ser paciente , mas não como um doente 😑🙃!	neutral
O pecado deve ser repreendido com Autoridade, não deve haver espaço para o pecado! #WordExpoInAngola	neutral
Não tenha Medo de Dizer a Verdade, não importa se vai machucar, diz sempre a verdade	neutral
Enquanto o mundo assiste ao desenrolar dos eventos na Ucrânia, quero informar comunidade global do poder, que a única forma de haver fim desta guerra é o ARREPENDIMENTO #PowerInResurrection	neutral
Esperar meses por um livro que vem com erros? Ministério da Educação que se passa? A solução não passa por comissões de inquéritos apenas, problema é bem maior	negative
Doce pah. Fazer uns bonitos nos casamentos e outros eventos	positive
Você como cristão, o seu dever é fazer tudo para entrar no Céu pelo ARREBATAMENTO, caso não, a sua eternidade será no fogo que jamais se apagará. #RevivalOfTheCross	neutral
Até parece que é só ir comprar tal filho	neutral
Na verdade nós temos problemas com a recepção da crítica. Temos medo do que ela pode fazer na opinião pública em vez de olharmos para o que ela pode trazer a longo prazo.	negative
Esse moço sempre a falar coisas desnecessárias ehh	negative
Outra coisa que vai vos matar é ter vários peques no mesmo dia 😭💀💀	negative
Aquele amigo que aceita ir tratar teus documentos porque não te dá jeito. Tens ?	neutral
Foi bom tamos juntos miga	positive
