tweet	label
Hi dlawile 🤣🤣🤣	negative
Hawena hinga ni tsika pah	negative
Ali exageram ih	negative
Wa pupuruka wena.	negative
Wayi vona manica ya nyuwani	positive
Khasi u djulaa niku hini mamanee!	negative
Ni bom by Noh Dja djuala ntse	positive
Uni Txova Yini &gt; #Moneycomio #HipHopMoz	negative
Cinderela wa mina I love u babe ♪💃	positive
ni yingisele niri kola Mocambique ka chokwe thwii	positive
A ta ti nhela😂	negative
Wa vurisa mfowethu.	neutral
Hi pfhukile. A va tsongwana va thlanga. Khanimambo. Ho yini kupfhuka?	positive
Loko u va kuma va tlanga, tlanga nawenawe🎵 Loko u va kuma va tirha, tirha nawenawe🎵 Loku u va kuma va phusa.🎵 U nga kalavalewi hi vanghano mani	positive
Na mina nile ku yingiseleni ka nongonoko lowu wo xonga swonghasi nirila Mozambique ka Khubu njhe	negative
Ihh ih ih ih um perigoso awenaa	negative
Maputo ka hisa sorry la	negative
Ni sungulekile khale mfana 😂	positive
Hii ni livrarih !	negative
A Vasati laku Tawas	neutral
hahahahahaha faxavor ya 😹🙄 don't ✋🏽	negative
Nambe mina. Ni pfhuki kwatse. Khanimambo	positive
wena kumele uhambiswe…🤞🏾	neutral
A ku xonga 😇	positive
Wena awu ni tendere nkata ')	negative
Essa noite ? Swa hila	negative
sim 🙈 Teka famba	positive
Utomi Nzanga Za Ku Tsakissa #PretoDeMoz #Enjoying The Life em Maputo, Mozambique	positive
Swo yini ku phfuka?	positive
pandzela ntsandza wa majaha Nwana I tiva hi Mutswari Baji ra makhelwani wari ambala ritlhela…	neutral
Hi tafa hi ndlala	negative
dzixilela wena mufoto ho ini hi ku pfuka?	positive
Happy birthday Mo G 🎂. Aku Huma ni humaka (quarentena, wena para Nita dlaya 🍻 🍺😹😹😹 #morelife	positive
Yuh. Mamã. A ni ku lavi mina🕺🏿	negative
Outros ; YABA BULUKU 🍌 Outras ; LA KAMINA KUNA TXUKELA 🍏 Eu ; NOLAVHA KU PHUZA NIFAMBA 🍻	positive
Misava yi Bihile ihh😤😤❤️❤️🤲🤲🤲🤲	negative
"": Auxeni, inlhikani,li xile, ku ndjani, unga ni nhenhentsi, ni bihile, u shonguile, wa nunwa, a ni pfukanga kwatsi.""😹😹😹🙈🙉🙊	positive
Nawene tem que o tsika madururo u pimissa nhana	negative
Niku zwê tititi, a ni ngueni mina ! 👀🙌	negative
😹😹😹txuvuka leswi lani 😹😹😹😹	positive
#HHW zama kuti hlanganisa na yena chomi ya wena face to face unwi tsunduxa hi xikweleti don't give up	positive
😂😂😂😂😂😂i rhandza mina, phela kuza xi rhandza camera hi kola ka mina	positive
Akusaka ka ndlama kopitira ku #Collerboxparty ndani ameneyo?	positive
