tweet	label
rapper amoako baako p	positive
adoma da so oo🔔🔔🔔🔔🔔🔔	positive
yɛntu gold wɔ wo krom nti ka nkwaseasem	negative
inyo aha na me w na metse ebn time na oby ready delivery to cape tech y ahen mara so motum abfa	positive
kaly really for gyaigyimii na adoosoo	negative
wabɔdam anaa wo trumu yɛ nkate nkwan aseɛ	negative
as manchester united fans nu ay quiet bi saa oo anaa mosi young boys 🤣🤣🤣🤣	positive
eii koo nimo na adu gyamfi old boy de olag fo asem fa woho bn🤔	neutral
ahh😂😂😂😂 please me w sunyani wae fri me so😂😂	negative
twa wanum nana na ampesie sika nt plot wo paraku estate	positive
fakc ma nyame ny de ehia nie	positive
tongue mu litmus paper nie🙌🏾	positive
oh lord im a sinner im stuck in my ways like a driller me ne akatafoc baako mmienu hyiamu aa yhye vanilla girl ne de mekc dinner fr me melina akwadaa bcne bi aa mehyia no kwan ho menka hene fa🔥🔥🔥 🔥🔥🔥 grr	positive
nyame ama wo anim monya n akyinyam	positive
aww bro🙄 ka naka noh biom	neutral
de y me de y me san y me y me yie 💨🔥	positive
asem na wo b ka 😂😂😂	positive
wiase eehu oo😂 fine girl dierr anka magacid oo na bentoa fa wo ho bn	negative
mesrew capo rap mu el chapo die me ba beye no nti menua charlie hye wo sapo mu nsuo yese ye hwihwe me wo interpol 🦅🦅🦅🦅	positive
bossu kwadaso forbes anaa	positive
br ne bayie nti na me supporti man city	negative
eeii my wife no mpo na mep no	positive
😂😂ah nti wongyae gyimii	negative
kwasea berma wop obi nudes ahw wo kote akyia s 😂	negative
john dumelo ne bulldog muti ewu papa	negative
matɔ me ɛya wo number	positive
minutes biaa goal baako nam mu🤣🤣🤣🤣🤣	positive
menso saa oo nanso menni kumasi me nsa ahwan nti me y me ho aduro wo obuasi	positive
wobtease amame me boy newo dabiaa mba wonkyn abda wob wale me😂😂😂	positive
woankasa dinkwasiasem nti way wani s prepaid card	negative
happy birthday idolo nyame nhyira wo bebree	positive
chelsea fans ne gyemii	negative
mstchew mo na mo br 😀😀kafera	negative
ft 👑 ohia official video stream here ↪ ohia ma me ky don man stand ohia ma me ky gun man stand ohia ma me ky	neutral
nipa tietia a wato dmuhrr gyes agradaa na b titi netm	neutral
ka na ka biom obamma🥱🥱🥱	negative
ɔmo nso nim sɛ wo trappi nnyɛ nnɛ😂	positive
eii bible fo yi lie fon sei	negative
wo y kwasia pii	negative
as one of my dons talk nyame asem di bible koraa si w kristo ni biaa akoma mu but to da wannim na wanfa ah emba biom hmm	positive
ho twa ankasa whaat 😍😍😍	positive
agenda boys no de no regyimi😂💔	negative
bhim bhim national team mo ndi nokware mo b br saa	negative
akatua asem na wabo so hmm santo yi nano ma me	neutral
makɔbre me moja ani atua me billslight no nso gyina so s kurasini ne heels	negative
nsamanfuor nyinaa ahw me snap😂😂😂😂	positive
me lydia akua nana serwaah senti acquah nka mabodam	negative
gyimiesɛm nkɔaa somebody she fit spit phlegm put en members dema mouth inside as akwan kyerɛ diɛɛ papa bɛn 💩🤮	negative
ne nim nyɛ akono baako sei anyway happy birthday bro	positive
ma me nya na nsi	neutral
