tweet	label
RT : Tí a bá bíni sínú òsì ò ní ká kú sínú òsí #oroiyanju #Yoruba #ijinleEde	neutral
Bibi koshe fo wora oti daJU!😍 Abinibi si yato sabiliti oo. #TweetinYoruba	positive
Pírí l'olongo ń jí, a kì í b'ólókùnrùn ẹyẹ lórí ìtẹ́. Kò síbi tó ń dùn. Araà mí le ju t'àná lọ. #Ojumotimo	positive
""""""""Ó ti tó, mi ò fẹ́ bẹ́ẹ̀ mọ́"""""""" Ṣé ẹni tí kò gbọ́ Yorùbá ló kọ Yorùbá dáadáa báyìí? )	positive
Awon tweet yoruba yii n mu inu mi dun gidi gan de furò 😁😂😁😃😀 #TweetinYoruba	positive
. Kí nìdí tí a fi máa ń fi aró pa òrò-mọdìẹ lára? #Ibeere #Yoruba #learnyoruba #speakyoruba #InternationalMotherTongueDay #MotherLanguage #MotherTongueDay	neutral
#tweetinyoruba Awon a soju aiye ori Twitter. Oyinbo ni gbogbo won so lori ago. Won a wa si Twitter, won a ma pariwo Yoruba.	negative
Kí ni ò gbówó lérí, afẹ́fẹ́ ìdáná ò ṣe é rà, epo parafín àti bẹntiróò ò ṣe é kàn, kò sì yọ irun kan lára yín. #IjoOle	negative
'À' ni àfòmọ́-ìbẹ̀rẹ̀ tí a fi ṣẹ̀dá ọ̀rọ̀ bí i 'à-lọ, à-dá, à-ṣẹ. Ṣẹ̀dá ọ̀rọ̀ mìíì pẹ̀lú afọmọ-ìbẹ̀rẹ̀ 'àì, àti 'oní. #ibeere #Yoruba	neutral
Ẹ ṣeun ìyá mi ❤️❤️❤️	positive
Ìjọba wa ò ṣe iṣẹ́ ẹ wọn bí iṣẹ́, ó kù díẹ̀ k'á à tó. Ìjọba mẹ́tẹ̀ẹ̀ta làbùkú kàn. #IjobaWaKala #Nigeria #Yoruba	negative
Ki lo ti ri? Kese kese lo ti ri, kasa kasa nbo, baba kese kese. I hope you get a good #Yoruba translator. Wonders shall not end.	negative
Ọ̀pọ̀ ló fẹ́ láàpa láì lápá, bí èèyàn ò sì lápá, kò leè láàpa. / Many want to make a mark without effort, yet without effort, no marks can be made. [Nothing ventured, nothing gained; diligence pays.] #Yoruba #proverb	negative
Onírọ̀hìn #AJStream sọ pé kí onírọ̀hìn #Nigeria ó máa ṣe ìwádìí tó kúnná kí a tó gbé ọ̀rọ̀ káyé	positive
Ojo ti a ba gun ko ni a kan orun, a kii si kanju tu olu oran, nitori igba re ko too se lobe. Eso pele ni ka fi maa se oun gbogbo #OroAmoye	positive
Kí ète wọn ba a r'ọrùn, wọ́n ṣe ìpèsè ohun amáyédẹrùn bíi ọ̀nà, tí ọkọ̀ wọn yóò rìn. À ń ná owóo wọn. #Nigbatiwonde	negative
RT : Egbẹ̀ẹ́dógún (Igba mẹ́ẹ̀dógún)	neutral
RT : Eni a san wa sowo, a san wa soro, alaafia, aiku baale oro. Ire ni fun gbogbo wa lase Edua.	positive
Oṣù kejì ọdún ní í s'ọdún di akọ ọdún. Ọdún mẹ́rin mẹ́rin akọ ọdún ni , irúu rẹ̀ tún di . Elédùmarè yóò pa wá mọ́.	positive
Wọ́n ti pa ní mọ́ṣáláṣí, ṣọ́ọ̀ṣì, wọn ò yọ ẹlẹ́sìn kan sílẹ̀. Èmi ò rò pé ọ̀rọ̀ ẹ̀sìn ni tilẹ̀ yìí o. #bokoharam	negative
Ẹnu mi rína ni )	neutral
#TweetinYoruba Oluwa oshe to jen ri ojo eni. Module lowo re. Olorun make she iyanu ninu aye . Like	positive
RT : Ekaro gbogbo ile. Ajire bi?	positive
. Èwo nínú mẹ́tẹ̀ẹ̀ta ni gbólóhùn mìíràn fún ọ̀gbẹ̀rì? A. Olojò B. Awo D. Múgù #Ibeere #Yoruba	neutral
Awon omo Sioni. fiayokemi_oluwa ❤❤😘💥🔥🔥 . _ #IlajeTV #Ilaje #ikale #ondo #Ulenuse #ilaje #yoruba #zion #cc #celestial #cele #ayoni #aladura…	neutral
♫ I jẹun tẹ́ ẹ wàwà sáyà. Ẹ se ure!I rójú tẹ́ ẹ wálè rayè yìí lọ. Ẹ se ure! Ee ee ee. Ẹ se ure! #ElemureOgunyemi	neutral
Ẹni tó bá dúpẹ́ ore a náà, a rí òmíràn gbà [If you're grateful for yesterday deeds, more to follow] #Yoruba #proverb	positive
RT : """"""""Bí ìlù bá dún àdúnjù, yóó fàya"""""""". Translation: """"""""If a drum makes too much noise, it breaks"""""""". Lesson: Disaster follows exc…	negative
Oruko mi ni Lt Ibrahim Olanrewaju Bello. Abi mi si Surulere ni ipinle Eko. Omo Olorunda/Osogbo ni mi, lati ipinle Osun. #TweetinYoruba #BIO	neutral
RT : Ṣè bí wọ́n ní 'lálá tó ròkè, ilẹ̀ ló ń bọ̀? Hmm. #TweetinYoruba	negative
Ṣé ẹ ti lo òrin ṣá. Èmi ń lo pákò àáyán mi gẹ́gẹ́ bí mo ṣe ma ń lò ó ) #TweetNiYoruba #TweetYoruba	neutral
Ǹjẹ́ ẹ mọ orúkọ ẹyẹ tí àwọn òyìnbò ń pè ní Senegal Canary? Ẹ bá wa kọọ́ ní Yòrùbá. #atelewo #àtélewó #yoruba #yorubaculture #edeyoruba #nigerianculture #africanculture #yorubanimi #africanculture	neutral
Dada awuru yale, yagi oko Olowo eyo, gbongbo ni ahoro Asiso o lara Otosi o niyekan Dada ogbegun, irunmangala Eran gbigbe o nijanja Aladeleye, abisu jooko Dada ogbegun Mo rade yo obinrin Gbon ori ade Gbo ori esu siwaju Dada ogbegun Gbo ori oro sodo mi	neutral
♪ Pátá ń jábọ́ ọmọge lọ wọ ṣòkòtò ♪ - #AsoKobaleNiSoosi (	negative
RT : pelu emu ogidi lati inu igba.	neutral
Ní àná, a gba ìhàlẹ̀ kan tí ó ń lérí mọ́ àwa àti àwọn àlejòo wa tí a bá tẹ̀síwajú pẹ̀lú ètò ìfọ̀rọ̀wọ́rọ̀ọ wa nípa LGBT. Mò ń fagi lé ètò náà.""""	negative
RT : . E ka, Ona meje lati je ki Igboya re ga ju ti tele lo, lori .	neutral
Àjàyí tó di Samuel Crowther, Adéṣínà tí wọ́n fún ní Remigo, àti bẹ́ẹ̀ bẹ́ẹ̀ lọ, ara àwọ́n tí òwò ẹrú oníhá-mẹ́ta gbé lọ #RememberSlavery	negative
Lóòótọ́ àti lododo, kò kúkú sẹ́ni mọ Òkòló nílùú Ọ̀yọ́, kò sẹ́ni mọ apako lásán-làsàn fẹ́ṣin Aláwọ-aàfin. #ItanDowe #Yoruba #Okolo	neutral
days to submit for ÀTẸ́LẸWỌ́ PRIZE FOR YORÙBÁ LITERATURE Lọ sí orí àpèrè wa fún ẹ̀kúnrẹ́rẹ́ àlàyé ní #AtelewoPrize #Yoruba #Atelewo #clock #yorubaproverb	neutral
Nile aye mi emi o le se o ki n ri eni t'olorun gbe ga ki n si maa dite mo	positive
