tweet	label
على حسب موقعك يبدو أنك صاحب نظرة ثاقبة .يخي تبهليل .	negative
تبهليل هاذا	negative
هاذي تبهليل ماشي فهامة	negative
تخاف نجاوب يا ناصر ببلوك لانو طريقة السؤال فيها شوي تبهليل وتذاكي	negative
مرنكة أقسم بالله 😂😂😂تبهليل ما بعد منتصف الليل	negative
لي قام بالنصب على الطلبة ما يدير والو . يقدم محتوى تبهليل و عنده ملايين المتابعين يحصد ملايين الدنانير على ظهورهم	negative
فعلا قبل مدة كان تويتر نقي تدخل هنا ترتاح دوك تويتر اصبح مقل الفايسبوك معمر تبهليل الواحد هرب من الفيسبوك ب…	negative
صباح الخير .بالصح كي تكون سنة تلبس كيما هاك هاذا يتسمى تبهليل .معليش تكون نظيف ومحسن وجهك…	negative
راك كبير على هذا تبهليل	negative
راك تخدم على شرك ازونا بلا تبهليل	negative
تبهليل el garghotti يستمر مع المتبردعين.	negative
سمعت الفيديو 😨 تبهليل ذا مش كرم	negative
RT العار والعيب أنو تلقى قنوات كيما العربية والحدث مدايرة تغطية على الحرائق والشيء لي راه صاري في الجزائر والقنوات تعنا مدايرة…	negative
كلكم خرطي	negative
قالتلو ؛ أختك وعلاه يسموها شريفة !	negative
وعلاه ناس يشنفو هكدا لالا	negative
وعلاه راكم تردو السلام بالمعرفة راني نشوف فيكم	negative
وعلاه تفتحوا الجرح 😢😢	negative
وعلاه راكي تسوڨي في طيارة علمينا نسوڨو	negative
وعلاه ماتريحش في دارها مع زوجها كاين رجل يتحرش ومراة تتحرش ويوقع هو في مصيدة واحدة والعكس تلبس الميني…	negative
معلومة= جهل من عند أيوب. وعلاه يا خويا وعلاه 😭😭🤣	negative
لا ياكهل ماتضحكش وعلاه باسكو راهي تدخل في نوع من كوميديا الاستهزائية\nومشمل شكون راهو يسته…	negative
وعلاه حنا عندنا منتخب عالمي .أسهل فرصة للتأهل ضيعناها برعونة المدرب وبعض اللاعبين	negative
مشي تليفون حجة التقافة الشعب معندوش وعلاه اجنبين متقفين	negative
وعلاه تعب روحك وتروح للمرشي تقضي🤷\ud♀️ كي ممنوع الاعتراض ؟؟؟ حط رجل على رجل وتشرط يا مول القضيان 🥺🙌😂😂	negative
أنا ما فهمتش وعلاه يستقبلوهم.يستهلو حشاكم بزقة في الوجه المرخس	negative
وعلاه غير احترافي ؟؟ أصلا اعلامنا لا يرتقب لهاته الصفة.…	negative
هه كل يوم موش، ساهل\nوعلاه ما نقصوش في الدرجة 😅	negative
