tweet	label
Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm 😭🗣	negative
Kaga wani Adu ar Banda💔😭 wai a haka Shi ne shugaban sojoji. Gaskiya Buhari kaci Amanan mu da kasa wannan mutum ah wajen nan	negative
Sai haquri fa yan madrid daman kunce champion din ya muku yawa😂	negative
Hmm yanzu kai kasan girman allah daxakace mukuma ga Allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria 🇳🇬 bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai Allah baya karbar addua talakawa	negative
Wai gwamno nin Nigeria suna afa kwayoyi ko 😂	negative
To Ku nemawa talakkawa mafita mana, Magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba? Kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba, Nan tsohon gwamnan Zamfara yacce sulhu da 'yan bindiga ba shine mafitaba To mi shika nuhi? Mits.😭	negative
Wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa?😂	negative
Toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama😡😡😡	negative
🤣😜🤣😜Shirin ku ya rushe akan Afrika kenan 👌	negative
Rarara kai dabanne wallah indai a fannin wakar siyasa ne, basirarka ta daban ce. 😂 #dodontsula 😝	negative
Ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi. May be fa a Jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya😣😣	negative
Chan ta matse musu. Damuwata masallatai da aka rufe ne 😭😭	negative
Mutanan Nigeria 🇳🇬 suna Allah wadai da tafiyar ka kasar waje, ya kamata katsaya asibitin gida adubaka indai Kai mai-kishin chigaban kasane😇	negative
Tayi maganin dan banza. 😂	negative
Nifa Ina ganin nafi simeone murna yau an sallami yan iska🤗🤗🤗	negative
Qawar ki tana cikin wani yanayi amman kina IG busy posting pics as if you are under arrest 🙄	negative
Buhariko to buhari yayafema Allah kuma ya kamu kaidashi ranar wlh zakugane Annabi Isah ba Dan allah bane 😱	negative
Nikam wai yan gudun hijira ne kawai suke da rai mutanen gari kam Baku ganin ukuba da wahalar da suke ciki ne jama'a komi wai aka samu yan gudun hijira yan gudun hijira 😠😡😱😱😒😫😏😚	negative
Kuttumar uba.ai dole muko ma guna😂😂	negative
Akwai jarababbu d yawa😎	negative
Lanberia kenan😅.ai suna sane suka kunno kayar su,dama ai lokacin siyasa ya kusa~salon su raba mana hankali~sun dade barakar bata yage ba~anki adinke barakar.😡😡😡	negative
Boko haram sun shiga garinmu garkida sun tarwatsa kowa kowa yanbar gari an kashe wasu mutanen mutanena sun shiga wani hali bazan taba manta wanan ranan nan ba 😭😭😭😭	negative
Duk salon yaudara ce kawai saboda ‘yan Najeriya su zabe shi a . Tun yaushe ake shan wahala a Najeriya? Ko sai yau ya sani? 😒	negative
Wai Cameroon domin lalacewa, gaskiya shugabanninmu basu da amfani😡	negative
Lol hadda Yan nanaye akemana adawa🙆🙆🙆	negative
Shikadai yasan wutar da yake karba yanxu haka 😔😂😂	negative
Wannan tatsuniya ce hira ne yake fada kawae 😢😢 yasan da haka ya tafi can yawon barbada 🖕🏻	negative
Yau ba ranar kulaku bace😂 No charge No surp	negative
Yau da shuwagabannin Najeriya ke bada iska da numfashi da tuni babu iri irin mu a doran qasa. 😔😔	negative
Idan kana iskancinka to katsaya iya jaharka amman inkashigo nan to tabbas zamu yimaka abinda baka tsammani koda babankae bihari😎	negative
Ko a mafarki kinki mu haddu sai jiya, Jiya ma zamu haddu akawasa ruwa natashi daga bacci am really unlucky gaskiya😄😅😭😭😭	negative
Wai ya makeup da kikeyi ba'a rage maki bakin vampires din ki ne? Baki har kunne😂😂	negative
An tarwatsa layin zabe a rumfar Mai Garin Gama👉 #KanoRerun #NigeriaDecides #Kanodecides	negative
Subahana babu amana😂	negative
Yafi cuta illa 🤒 😂	negative
Allah ya kara_next time tayi mata kunfu🔨🏃🏃🏃	negative
Anci kudin dalibai. Hahahahah😀😂🤣 #mbuhari is working	negative
Mu masana ilimin yunwa mun tabbatar da za'ayi 🙄🙄	negative
Da wani wawan fuskanshi a gurin🙄	negative
Ana iya shege a Nigerian 😂	negative
😭😭😭😭aikin knn Sai kwamushe yayan alumma ake Amma Kuna ta allurar karya wae Corona hmm kuje kufara karbo yaran da aka dauke snn kuzo kuyi mgn Corona	negative
tabar solobiyo da bashi🤣	negative
Tsakanin Mu da ke Sai Allah ya Isa kawai,Dun da baki Saka Wa ennan Hotunan ba, tun farko, da hakan Bata Faru ba, kuma Ma Kukan Me Zaki Zo nan kinayi, me Yasa Bakiyi tunani, tun Kafin ki Saka su ba, A dole ke kin waye, ke ga Celebrity, A zindir Allah ya isar mana Wlh 😢😢	negative
Insha Allahu baza a bayar ba karawa me karfi karfi asara ne wlh Allah Ameen 😂	negative
Dan Allah idan an girma Asan an girma. A wnn shekarun kana Irin wnn maganar. Kace ba'a taba Barna Irin wnn lkcn ba, abun nan fa abuse yake. Mai girma minista Ina ganin Girman ka😭	negative
Eh hakan zai taimaka kam. Esp. Wajen tada musu da hankali. 😅 Su baba an waiwayi kurame. Ohh!	negative
Gaskiya wannan hukunchi baiyi ba kuma abun yafara yawa sallar ma arasa lokachin hanata sai da axumii xa'ahana to ALLAH GASUNAN GAKA 😭😭😭😭😭	negative
Bb munfakai NE bayan zabe 🤔	negative
In ta mune, har abada kar ma ya yi inganci😏🙄	negative
Daga Baya kenan* """"""""""""""""Tusane ya qarewa bodari"""""""""""""""" """"""""""""""""Kuma babu wata shiga da kunun zaqi zaiyi yabawa koko tsoro"""""""""""""""" U can't undo what has happened girl Cuz u created the chance. Emm sorry bby😟	negative
Kaga dan bura uba kamar ya daga tutar musulunci se faman kwalalo ido yakeyi hiihihih😂😂😂😂	negative
kugaya mishi buhari be ma San anyimishi mutuwa ba ai haryanzu😂😂😂	negative
😂🤣😄shegiya Weed Bbc ashe kuma kukan taba	negative
taraba diyan banza😸	negative
Ina ruwanmu daman bazamu ba 😏 Wancan shhekaran ma da muka je ya bamu dan uwatar 😎😏	negative
Zasu sa miki hawan jini kau😂😂😂	negative
Ansace Yaran Primary a Kaduna Yau Baice komai va, Amma kaji Mugun Wai a yau din dai ya fito yana Taya Mawaqa Murna🤣🤣 Alqur""""""""""""""""an yan Arewa kun Zabi Keken Bera🏃🏃	negative
Dama an ce yaranta kaman hauka ne. sai ya he ya ci gaba da dawisu sa a gidan baban sa.😁😂🤣	negative
Allah ya tsinewa amnesty albarka. Allah ya wulakanta su fiye da yadda suke wulakanta bangarorin musulunci. Ameen ya HAYYU YA QAYYUM 😭	negative
All dis and dt na scam . . dole qanwar naqi . ta sanadinki . anyima annabinmu isgili . mara kunya kawae .😡😡. dawai ribabban jikinki . Mara albarkan dunia bare qiyama .👺👺	negative
Saidai rahama taji kunya Kuma tasabajin Kunya dama🙄🙄	negative
YDG dama idon kaji saurayin da yace ma budurwa ta turo Mai da tsiraicin ta, toh ba auran ta zai yi ba lalata kawai yake so yayi 😭😭	negative
Kayyasa 🤗🤗🤗🤗🤔🤔🤔Gaskiya bata kyautata ba.	negative
Za ta kwashi kashin ta a hannu kuwa😆	negative
Kaji abin haushi toh uwar me mutun zaizo yayi daga kano zuwa kaduna Allah n tuba ay gara na tafi kauyen dadin kowa🤣	negative
'Yan bindiga sun sace 'yan China huɗu a Calabar da ke kudancin Najeriya 👉	negative
Muna funcin banza 😏	negative
Akwai Allah aie shiyasa basu damuba koda Nigeria zata lalace a shiga yaqi da tashin hankali tunda sunada inda zasuje su huta 😭	negative
Wllh wannan azzalumi magani guda a harbe shi har lahira domin yazama darasi ga azzalummai irin shi, Ni gaskiya banga alamun yin adalci a gwamnatin Shugaba ba wllh, Wannan ta'asa har ina?😭😭😭😭😭😭😭😭😭😭😭😭😭😭	negative
yana dan kauyensa See the mouth 😂😂😂	negative
Uwar me zasu musu, bayan sun fada anqaryata suu😏	negative
Dan daura Mayen jirgi😂😂	negative
bandicts Jiya ma da daddare sunshiga garin Dan kaya dake Sheme ward sunkashe mutum ukku aciki harda jariri,sun kwashi dukiya sun ware abunsu kamar yadda suka saba.bayannan suntafi Qauyen Unguwar Hayaqi nan ma sun kwashi dukiya suntafi hankalin su a kwance.😭🤲	negative
Kai zakuci kaniyan ku fah.😠 Kaga ja'iran yara😡	negative
Tariq ae an dade ba ayi wawa jaki kamarsa ba 💯snitch	negative
Ai kin banzah kenn🤷ina wadan da aka saya a baya ?	negative
To me za'ayiwa gawar shegen kenan😀😀😀	negative
