tweet	label
hh ana gama smatt ach kant katoll kanrakazz ghir ma zineb oyassmin ochirine	neutral
hh hardart jomhorha la filan kadahko lach mrakzin maha ama kayn bin li kaydir dakchi alanan ou li khbit bhal bohila	neutral
: أتفهم العثماني وأتفهم الجدل الشعبي. الحل: حان وقت تنزيل شامل للجهوية المتقدمة وتحمل المتخبين الجهوين لكامل صلاحياتهم لشرح تفا…	neutral
كان افظل حاكم عربي'	positive
ماريانو راخوي : خاص المغرب واسبانيا يشرحو للرأي العام وجميع المتدخلين بوضوح تفاصيل الاتفاق اللي توصلو ليه,	neutral
كيف سمحت لك نفسك ان تقارن اردوغان بالحمار بنكيران للتذكير انا #ممصوتش	negative
مليلية. رئيس حزب “بوكس” الإسباني اللي كيعادي بلادنا: تأجيل زيارة وزير الخارجية للرباط كييبن بللي المغرب هو المتحكم فكلشي وكيطالب حكومة مدريد تبقى سادة الحدود بين البلدين,	neutral
dakchi alach hamdoulah mereta et en bonne santé 😂	positive
تحياتي أستاذة منيب	positive
ولا انا متحزب ولكن حزب العدالة """""""" بنكيران"""""""" أخبت خلق الله	negative
غير التحت ، الفوق لا 😂	neutral
ترح و ترجع بالسلام ياحبيبي'	positive
اول فنان مغربي عربي تصل اغنيته ل خمسة مئة مليون مشاهدة على يوتيوب'	positive
ها أول تعليق رسمي من خارجية الصبليون على اكتشاف احتياطات نفطية كبيرة فسواحل أگادير,	neutral
wlah matfro insana tafha mandha hta hadaf f hyatha bghat ghir nas igolo liha zwina tfoo	negative
الله أكبر والعزة لله الله يحميكم وينصركم'	positive
السياحة مقابل البيتكوين، فعلا فكرة رائعة و غير مسبوقة. و إشهار مجاني للسياحة بالمغرب كما أشار المقال. أتمنى أن يتدارك المغرب الموقف و يلتحق بالركب. ارحموا هذا البلد السعيد'	positive
مجموعة طاليس العالمية حلات مركز عملياتي للأمن السيبيراني فالمغرب,	neutral
هذشى كاين الاغلبية ديال الشعب عارف الله غالب	negative
conane likidambety o abdsalam dar bareh hamla alek hejmo la had siyed bach ibtissam tdar dir ando aflam	negative
تقرير: مفاوضات إسرائيلية تركية سرية ناقشو فيها يدار أنبوب غاز مشترك لتزويد اوروبا,	neutral
