tweet	label
Ìwọ ikú òpònú abaradúdú wọ, o ò ṣe é 're o. O d'óró, o ṣ'èkà, o m'ẹ́ni rere lọ. ṣe bẹ́ẹ̀ ó lọ.	negative
Yorùbá nbú'yàn ṣá """""""".àyà wanle bí òkú ìbànújẹ́"""""""" áha! ) #eebu #Yoruba	negative
Òwe àgbà ní """"""""ọmọlọ́mọ là á rán níṣẹ́ à á dé lóru"""""""", ẹ wí fún wọ́n pé kí wọ́n ó rán'mọ wọn. Wọ́n kì í múyan síi. #DGtrends	negative
RT : asa kasa ti awon eyan ko ni odo awon oyinbo tiko mu ogbon wa, koda rara,atipe ounse okunfa alebu ati arun	negative
RT : Mo ń rí àwọn èébú kọ̀ọ̀kan. Àti àwọn tí wọ́n ń fi wá ṣe yẹ̀yẹ́. Ẹ fiwọ́n sílẹ̀, ara ló ń ta wọ́n. Àwa ò ní fi ọwọ́ òs .	negative
Ọ̀rọ̀ wo ló wà lẹ́nu bàbá Ìyábọ̀ gan àn? Kí ni Ọbásanjọ́ ń wò o? » #Nigeria	negative
nkan ti bàjẹ́ pátá pátá pátá ní #Nigeria. Àbí báwo ni wọ́n ṣe tún jẹ́ kí #DanaAir padà?	negative
Yorùbá adage for the week: """"""""Àdánìkànrìn ejò ló ń jẹ ọmọ ejò níyà"""""""" Translation: The lone movement of a snake exposes it to danger. What is this Òwe telling you? #learnyoruba #wisesayings #owe #mondaywisdom #yorubalessons #yoruba	negative
Ẹdun àrá Ṣàngó ní ń sán pa olè àti ọlọ́kàánjúà t'ó jíṣu láti fi gún'yán, onítọ̀hún yó jẹyán rẹ̀ níṣu. #Orisa #OkoOya #Ohanepo #Nigeria	negative
RT : """"""""Bi awon Ologbon ba kuna lati ja fun ipo ninu isakoso Ilu,Ogbon omugo ni won o fi dari won"""""""" - Baba Awolowo …	negative
. Emo wolu Iwo ni Ipinle Osun. Abdulrasheed Adewale Akanbi ti fe ja si oja, e mu so o, ki Oba alade ile Yoruba ma so isokuso pe Oluwo ilu Iwo ti di oye itan, Akanbi ti yi Oye Oluiwo si Emir ile Yoruba. Nje ko kin se aisan opolo lo ya wo aafin Oluiwo ilu iwo bayi?	negative
Sebi agbejoro ni wan pe ologbeni yi, se ti oba de ile ejo, aruwo PROCESSING ni oma ma pa fun adajo? Oro yin su mi o	negative
Ó ti wà bẹ́ẹ̀ lọ́jọ́ t'ó ti pẹ́. Olóògbé bàbá Alfredo Darrington Bowman tí àwọn èèyàn mọ̀ sí """"""""Dr. Sebi"""""""" ti ilé iṣẹ́ ìwádìí USHA ní America ṣe àfihàn àwọn oúnjẹ ikú wọ̀nyí. Kódà, ọ̀ràn náà só síni lẹ́nu, ó tún buyọ̀ sí i. Nítorí owó 😔	negative
Mo ṣàkíyèsí kan. Bí mo bá túwíìtì nípa ìṣẹ̀ṣe, ara àwọn kan kì í gbà á, wọ́n á ṣíra tẹ àìbárìn, wọn kò tẹ̀lé mi mọ́. Òtítọ́ a máa korò. Kò sì sí bí a ó ti se ebòlò tí kò ní rùn, kò sí bí a ó ti sọ̀rọ̀ ìran Yoòbá tí a ó yọ t'òòṣà kúrò, kò ṣe é ṣe. #Yoruba	negative
#Yoruba Operekete ndagba, Inu Omo Adamo nbaje. A di Baba tan Inu nbi won.	negative
Àmodi -► illness {ọdún méjì ni àmodi fi ṣe é = s/he was ill for years} #InYoruba #ReadYoruba #WriteYoruba #SpeakYoruba	negative
Alárìnká, ajẹlójú-onílé náà ni à ń pe èkùté-ilé. #idahun #Ibeere #Yoruba	negative
Ese kọ́ l'ọmọdé àkọ́kọ́ t'áwọn bíi Yinusa ńfi s'ábẹ́. Òfin'lẹ̀ wa f'àyè gbàgbàkugbà, ara ìwà pálapàla tía kọ́ #Nigbatiwonde nù n. #FreeEse	negative
IDIBO OSUN. Awon agbogunro ya wo ile Sinator Bayo Salami ti o hun se asofin Olorunda ni Ile Asofin ni Abuja #OsunDecides	negative
Ede gesi yin gan o gbadun! Ewo ni """"""""right"""""""" write ni sir! Eti fi owo awan obi yin Jona!	negative
Ẹranko tó bá ṣiyèméjì lọde ńpa. = It is the indecisive animal that gets killed by the hunter. #Yoruba Proverb)	negative
esa fe ti ina bo ile Yoruba tipa tikuku. Ari ijamba ti awon egbe Ganiyu Adams se ni ilu eko lojo aje. Eledumare yio da yin lejo	negative
RT : """"""""Àwọn gómìnà ń ṣe ìgbéyàwó fọ́mọ wọn nígbà tí Boko Haram ń ko àwa lọmọ lọ"""""""" Olóòtú Sahara Reporters tí fọgba yángan htt…	negative
RT : """""""" Aiye le: Obirin loyun fun oko re, lo ba dana si ile won pelu oun ati oko re ninu e	negative
