tweet	label
خاطيك علابالي 🕊️	positive
وقتاش يجي الشتاء راني باغي نتغطا	neutral
الحاج قتلتنيييي بالضحك 🤣 🤣 🤣 🤣 🤣 🤣 ،،، مليحا بزاف	positive
مرحبا بيك كلبي	negative
الجزائر جنة 😍🇩🇿 وقتاش تلحقينا 😅	positive
الفطاير في جيجل\nعيدك مبارك ينعاد عليك بخير وصحة وسلامة	positive
خصنا كراء بيت في جيجل	neutral
مسكين غاضني واش بيه هكذا	negative
مرحبا بيك في ادرار (الجزائر)	positive
كما قلنا سابقا كلمة ""قهوي"" لم تأتي من فراغ بل هي مشروع لعزل الأغلبية على الساحة و فرض أفكار تاجمعت عليهم قصرا و الا…	negative
خدايم القرش واقيلا	negative
RT الحمامات هذي خدموهم علجال لي نجح بالغش يتبهدل تبهديلة العمر ...😅	negative
😂😂😂😂شام الوحيدة الي تحب الزمالك زكارة في الاهلاوية 😭😭😂😂😂تحبي ديريها زكارة نعرفك	negative
😂😂 شوف التصاور لوخرين هذي واقيل فوتوشوب و لا حطولو كرسي 🤣	negative
اعود باالله من كلامة انا الي نخسرها في شهر المراة تخسره في عام نساء واش يخسرو💅 👄مكياج بارك حليلو الرجال…	negative
مرحبا بيك في اي وقت	positive
RT زعما بعدوها على الجامع	negative
الرجال قادرين علاها بلا مزية حتى واحد	positive
اسمحيلي بصح ماكاش لازم تحليلهم الدصارة تع الفايسبوك . الا سحقو كاش حاجة يقولوهالك فالقسم	negative
علابالي سايري بالعقل متقلقيش هذي هي المواقع اعرف كيف تمشي 🤗😂😂😂😂	positive
زعما يكومونتي😂	negative
سوق اهراس مهيش تابعة دزاير واقيل؟؟؟	negative
أنا جامي نشكي مالفوطوكوبي تاع حاجة بيومتريك، لأن البديل ""ماكاش الريزو مانقدرش نتأكد مالمعلومات""\nThe horror	positive
اه علابالي الصحراء تقدر ترجعها جنة بصح المشكل الارادة مكانش .	negative
الجزائر من نهار إستقلينا وهما يسرقو مفقرتش مزية ربي يشوف لينا	positive
العاب البحر الابيض المتوسط ، الزوالي فالقلب 😑☝️	negative
بزاف😍	positive
هادوك البنات لي ميحبوش يحطو تصاورهم وميتصوروش بزاف تلقاهم كامل زلات 😩💗	positive
هههه واش من KO ؟ ينبح أمبعد يبلوكيني ؟ هذي هي الشجاعة يا أبناء الزريبة ؟ واصلوا نباحكم.	negative
شرب كاش حاجة قبل ما يلقي الخطاب مافيهاش هدرة😂😂😂😂😂😂😂😂😂😂😂😂	negative
محرز لايت هذا واقيل هذاك صاحبو اللي يظل معاه فاتح فو كونت	negative
اواه علابالي خو كاين مقاهى والله غير حسبو بيين قالك بززاف ياخي قهوة انت خدام داخلك ولا غير حبسوها	neutral
لما تمشي لسوق الفريب وتركن سيارتك الحقيرة بجنب سيارة فخمة اخر طراز تابعة لوزارة مانحبش نسميها .\nتقول. علاش قلة الذو…	negative
اللهويرحمهم و الله يصبرنا على فراقهم، صعيبة بزاف	positive
ما عرفتش علاش كي شفت الفيديو تفركت نيشان الخلايجة 😂	neutral
مرحبا بيك في العائلة	positive
الشروق هذه من خرجت وهى نتاع تبهديل، مستوى منحط وشعبوي ....	negative
اه امبعد واش راح تفيدهم ما عندكم والو غير الزلط والهدرة في المواقع انتم بنفسكم راكم مديونين	negative
RT منافق و كذاب لا نريدكم اخطونا اخطونا اخطونا اخطونا اخطونا اخطونا اخطونا	negative
تبهديلة عابرة للقارات هههههه	negative
علابالي لازم الخروج يكون بقوة ما عندهم ما يديروا	positive
شكون هدا خوك و لا انت🤣🤣🤣	neutral
نيشان والله ،حابسين في عصر الجاهلية ، وفرحان بروحه وڨاع	negative
هيه قصدي الشخصية لي وهمية ... بصح ادا كان جندي ماعلاباليش ادا صح	neutral
علابالي نخطيكم انا تضيعو 😌	negative
انا لا اؤمن بالجهوية\nانا جزائرية ب 58 ولاية\nفقط وضحتلك انو اصلو من دشرة\nمادام راه يضحك على القهويين… ,	negative
و في الدزاير ماكاش منظومة صحية متطورة؟!؟!	neutral
علابالي بيك عفريت كبير صاريلك كما الحوت مايتحكمش ههههه	negative
ما عندو حتى معنى ...جياحة تع مراهقين وخلاص	negative
ان شاء الله ترجعي علابالي لك وحشة اتهلاي في روحك واحنا هنا وقت ما حبيت بسلامة بالاكي تبعدي بزاف 😏😅😅	positive
معلومة= جهل من عند أيوب. وعلاه يا خويا وعلاه 😭😭🤣	negative
واقيل فودن ميعرفش يلعب بففففف	negative
و طويلة بزاف هههه	negative
آمين يارب \nبلا مزية جارتي 💜🌸	positive
بالامين حدثلي خلاف مع مجموعة أصدقاء و قررت أقطع علابالي معهم بعدم احترامهم لي مع أمي أعاملهم باحترام كبير	negative
ليكيب تاعك ؟ نتا واقيلا مريض شوية، الفووت نعلمهولك انا ولد الناس، واقي…	negative
😥😥غاضتني😥	negative
خو العلاج مع الخيل يا شقرا	negative
نحبهم بزاف بزاف	positive
جزائري ولست منهم هادو الذين اعطوك الدروس التهريجية	negative
ياخي حالة ياخي اللي يخموا كيفك عندهم إنفصام بالشخصية يتسمى حتى باباك هذه طبيعته واقيل إرتقوا شوي القاع إمتلاء بالحمقى	negative
ماكاش تعليق ترد فيه على الكنديبن يا منزوع الإرادة عديم الشرف	negative
on da\noff da \nواقيل قلتهالك ديجا منقبل😭😭	neutral
ايلا كان ديجا حاط عينيه مانتسناوش بزاف 🤭😂😂	neutral
قهوي ؟ علابالك بلي الناس كي تقول القهويين تقصد القبايل ؟\nياخي بني عداس يازح	negative
رآها قالوا لاولين لبغا الجمال يطلع لشمال كانوا واقيلا كيعنو شمال أروبا او شمال أمريكا	negative
مزية مقلتش 😹	positive
و بزاف على هواية ههه بالصحة و الراحة	positive
علابالي دول عالم الثالث متخلفين نعتامدو على لغة لن تفيدنا في شيء \nالناس طار با…	negative
عادي لوكان ضرك يقولولوا اشطح يشطح😂😂	negative
روحي تتعشاي أمبعد أنقلك	neutral
شفتي على تبهديلة😭😭\nالقراية كلها تضربت في زيرو	negative
والله نضحك هذا مكان \nأصلا مكانش من الأساس\n وعلاه صعيبة بالعكس أنا اطيب مما تتصور	positive
زعما راه دار شي انجاز غير مسبوق 🤦🤦🤦	negative
نعم وناس عنبالهم جياحه	negative
هههههههههه هي اي لقطة تعهم غاضتني كي قالي طاطا هههه انا طاطا انا مزلت صغيرة على روحي نسيت بلي في يد…	negative
ساواصل، درتي فيا مزية حسابي موجود على حسابك جبتيلي متابعين جدد شكرا لك	positive
لازمنا نحاولوا ونحاولوا هذي بلادنا علابالي اليأس سيطر علينا ولكن	negative
ايا مزية ..الحمدالله	positive
ههههه سقسي اختك لي دير روتيني اليومي تقولك	negative
كول واعر يا ختي سلمى جبتيه في الشبكة نيشان 👌👌👌👌	positive
