tweet	label
RT : Mimo, Mimo, Mimo, Olodumare (Holy, Holy, Holy) #yoruba #JESUSlovesYOU via	positive
Ẹ mà kú àyájọ́ ọjọ́ ìgbòmìnira Naìjíríà o. Òmìnira là ó máa rí a kò ní rí omi ìnira. #Nigeria	positive
Ipade awon tibi.............	neutral
Ìjọba ò fi padà fún mẹ́kúnnù, ta l'ó yẹ kí ó máa ṣe àwáríi àkàndá-èèyàn ọlọ́pọlọ bí kì bá ṣe ìjọba! #IjobaWaKala #Nigeria	negative
RT : """"""""K'álára ó para mọ́, Àwa ọlọ́sà tí a ṣe ìlérí pé à ń bọ̀ wá ja ìlú yín yìí l'ólè l'óru àná, a kò le wá mọ́. Ó dùn wá díẹ̀.…	negative
RT : Lẹ́yìn tí a parí ìwé Ìrèké Oníbùdó láti ọwọ́ D.O Fágúnwà. A fẹ́ kí ẹ bá wa mú ìwé tó kàn tí a ó kà nínú mẹ́ta wọ̀nyìí: A.…	neutral
Onírè ńkọ́? Ta ni onírè? #Ibeere #yoruba	neutral
. ti di idakuda. Ewo nkan ti irun Burazili (attachment) se si ori obirin ti Eledumare fun ni ewa.	negative
Egúngún kò mọ iyì ara rẹ̀ ni ó ṣe kó àpò kọ́ ọrùn; bí kò kó àpò kọ́ ọrùn taní jẹ́ dúró de ará ọ̀run? #EsinOro🐎	negative
RT : Eseun fun ilani loye nipa ede yoruba... Eku ise takun-takun	positive
Ẹ kí mi kú orí ire o. :) #owo #apekanuko	positive
RT : ko si oye leko. Kiki Ooru ni.	neutral
RT : Èrín àrin t'àkìtì... òrò burúkú t'òun t'èrín...Jonathan gba sátidé lówó re ó gbé sunday le lówó	negative
Obe ki gbenu agba mi """""""" . . . #Owe #agbelero #yorubadun #yoruba #commissioner Ifm1005 Ibadan	neutral
#Yoruba Agbon nse, Oyin nse, Oju oloko ree, gudugudu lo wu.	neutral
5. Àfòmọ́ ìbẹ̀rẹ̀ |a| àti mọ́fìmù àdádúró |lọ| ni a fi ṣẹ̀dá |àlọ|, ṣẹ̀dá gbólóhùn mìíràn pẹ̀lú |a| àti |lọ|. #Ibeere #Yoruba	neutral
