tweet	label
Nukuri Darla iyo utaywa inzoga ntabwo biba byabaye.	negative
Nonese ubona ibyo yaharanira twadabyimakaje nyuma y'ubwigenge cg turacyabirwanya?	neutral
Iyo mbonye umuntu wambaye lunete za orange ngirango nizo wamutije🤦🏾	neutral
Erega biriya nibyo bitagize icyo bitwaye	neutral
ikomeje imyitozo yitegura muri iyi Weekend, nyuma yo kubona amanota 3, itsinze	neutral
#RwOT, yabwiye igihe azarongorera. Bizaba ari ku wa Gatandatu. Umva ikiganiro cyose hano👇kinasobanura icyatumye yamamara.	neutral
Njye nguha report se? Ubwiwe n'iki ko ho ntahageze?	neutral
Madam wanjye bamwoherereje Message ngo "ya ngurube nigenda umbwire" kdi ntatungo tworoye😭😭😭	negative
Mn wifunga umutwe nta macakubiri arimo 😥😣 kuba yanga kubona umugore wasinze . wowe ukaba ubyanga byose ( gore/gabo) ni kibazo!	negative
Burya mubuzima ntuzemerere chr wawe gusenga bucece 😑😑 kuko hari igihe aba ari gusaba Imana undi mukunzi mushya 🤣🤣🤗🤗😎😎	negative
Nsigaranyeho 1 GB only 😭😭😭😭😭 kdi sinzi aho ndi bukure ayandi 5,500 rwf. Nyamuneka ndemera kabisa nzakuririmba imyaka ibihumbi	neutral
Shaba ngewe nywa ka mutzïg	neutral
🙏Uhoraho ni urumuri rwanjye n’agakiza kanjye🤲	positive
Fatisuka ujyeguhinga ureke kujajwa! Nubundi ntiwamenya math ngumenye na football! Jya kurya amacaki	negative
Narumiwe ubwo umaze kurya milliards zingahe	negative
Urabeshya. Mba mbona uri nka last born! 😂	neutral
Hahh, ntabwo ari ugushira nyagushira. Waramutse neza 🙌🙌	neutral
Abakunda kureba abambaye ubusa barakubwira ko yariyambaye neza. Naho abanga kureba abambaye ubusa barakubwira ko yariyambaye nabi.	negative
Yego. Bafite ubwenge bwo gukorera amafaranga bakagura ibibatunga n'ibyo kwambara.	positive
divayi nziza itunganyirizwa muri wayisanga hiryo nohino mugihugu hose ikozwe mumushongi w'ubuki bw'umwimerere hamwe na tangawizi ibyiza bikugereho	positive
Kwimakaza ihamye ry'uburinganire n'ubwuzuzanye &amp; Kurwanya ihohoterwa ni intego	positive
Abaturage ba hariya barumva bazi agaciro ko #kwikingiza n'abatabyumva barigishwa bagahabqa umwanya wo gusobanuza ibyo bashidikanyaho hanyuma bagahindura imyumvire.	neutral
Ase ubundi yaratabarutse ? #ukugezehoafite inyota umuhe amazi Imana yo nyine niy’ Ibizi 😭	positive
Ni mwiza aranabikwiye ariko ikibazo nuko twamumenye mbere y'ikizamini (amarushanwa.	neutral
Uzi ko ari muri CHIC koko man 😂😂😂😂😂	neutral
Karakemutse wanguriye byel mumisi mike ko ndakuzanira umukiriya	positive
Nuko hasuzuguwe umugore, ntan'ubwo Ari ugusuzugura, ni ugupfobya!	negative
Ikibazo si ukuba batawukozeho. Ikibazo ni mouvement bakoze zegera umuzamu Kandi already bari muri hors-jeu.	neutral
Umurenge wa Rwerere ufite ubuyobozi kd nta mukozi uri hejuru y'ubuyobozi, sinzi niba warahageze ntiwakirwe cg ukakirwa nabi? #umuturagekwisonga #Rwerere niyontego	neutral
Mama sheenge! Ukuri kuzima gururuka mu ijambo ry'umwana 🥰	positive
Dukurikiranire hafi wowe gusa wirebere 😊 Igihe cyawe kizaza	positive
kuva ejo ko kwishyura mutuelle byanze muradufasha iki?	neutral
None ko inyagwa yateye ihungabana ku buryo gafatwa ibyemezo mu nguni zose z’ubuzima, icurika hasi inkorane (system.	neutral
Wowe se ubijemo ute? Niba utajya ureba amakuru, just shut up🌚	negative
Mon Kiki 😍 Wakoze mubyeyi gutoza umwana inzira nziza binyuze mu mukino! #KinaWiga #kinaRwanda	positive
Gusaba uruhushya hejuru ya 21 ntibirimo tu. Kubamenyesha birahagije!	neutral
Nyuma yaho Darwin Nunez asinyiye ikipe ya Liverpool, dore ubusatirizi bwayo uko buzaba bumeze 🔥🔥🔥 👇👇👇	neutral
Twese dukorea tukanatemberera muri duharanire ko uyu mujyi utera Imbere na muri rusange Twese intero Imwe imwe #UmuturageKuIsonga	positive
Aya mafoto murikuyakura hehe	neutral
Yh 9:4 Nkwiriye gukora imirimo y'uwantumye hakiri ku manywa, bugiye kwira ni igihe umuntu atakibasha gukora.	positive
Ndumva nanjye nanjoinga abo badafite ubwenge nuko nsanze Ndi mubi😥	negative
Haaha…. ok celebrate itsinzi yanyu iboneka rimwe na rimwe 🤣	positive
Ngo iyo utangiye gukina isogisi rirakujabuka? Ritakujabuka se wigeze ubona kirida yambaye isogisi ntiriyijabuke	negative
hita byose ubimusobanurira atazongera kugutesha umutwe. Minimum /= minidad Maximum = mama wa maxime	negative
2/2 Ntuduhane mu bitwoshya, Ahubwo udukize Umubi, Kuko ubwami n'ubushobozi n'icyubahiro ari ibyawe, None n'iteka ryose. Amen. '	positive
Ihangane umunsi umwe tuzapfa twibagirwe agahinda iyi si idutera ❤️	negative
Iyi Match Ya #LiverpoolFC na #ManUnited muri kuyibona mute?	neutral
