tweet	label
l show li kan la 3al9a madertch tamanyaton	negative
nti w dk mgrp li dkhltini endkom hdra dial lkhra bhl ila gals kndor f comms d page lhamda dl mbwq	negative
w 7ta ana da5la o 7ta 7ad magali mais ila knto katbgiw ihab man bsa7 t7afdo lih 3la jomhoro machi tnawdo lo sda3	neutral
مطيشة جبدات الصداع على عمدة مدينة طنجة,	neutral
شكرا هيسبرس على فتح الباب للنقاش المثمر'	positive
hh wakha yghni lina b chl7a	negative
مبروك حبيبتي'	positive
لاحولة ولا قوة إلا بالله العلي لوكنأ مؤمنون وكنا نفعل ماآمرنا به الله ونعطي لكل ذي حق حقه والله ما ضاعت منى القدس الشريف ماذنب هذه الاطفال'	negative
والله انت رائع يا معتز الله يحميك انت من الاعلاميين الشرفاء الاقلاء الباقيين '	positive
السياحة ماشي غير واكلة الدق… تهرب ضريبي واوطيلات كيخرجو الدوفيز لبرا بلا مراقبة والفوضى دخلات للوكالات السياحية,	neutral
حكيمي يستحق اللعب كاساسي لأنه لاعب متميز'	positive
تقرير : الجيش المغربي كيفاوض شركات عالمية باش يشري مدرعات عسكرية متطورة,	neutral
أفعى بجدارة تريثت تربصت وكان الفحيح متعة له صدى ما توارى'	negative
ana mn naw33 li 3ziz 3lihh tajdidd hh	positive
على تطوير وتعميم التعليم الأولي. ها الاتفاقيات اللي سيناها اليوم الوزير بنموسى,	neutral
شهيد منسق فرق المعارضة فمجلس النواب لـ”كَود”: اليوم حنا قدام اعتراف واضح من الأغلبية الحكومية بللي ما تحملاتش مسؤوليتها السياسية فهاد الفترة وبغينا الرفع من ريتم الأداء التشريعي,	neutral
حصلو بسباب الارتشاء. التحقيق التفصيلي غادي يبدا مع كَرايدية فالبوليس فمحكمة الاستئناف بفاس,	neutral
3adi ikharjo ihab bach tb9a ra9issa impossible ib9a tebal bla ra9issa	negative
و للاسف تاخذ الاموال من الشعب غصبا عنهم. لا نريد دفع اي ضريبة لها. '	negative
اتفاقية “لاهاي” الخاصة بالنفقة فالخارج لفائدة الوليدات قدام مجلس الحكومة,	neutral
