tweet	label
lol im too innocent sir i wan marry sef sir	positive
oga just say youre bringing ecmt to the party in that your luxury bus no wahala i go dey for fed secretariat bus stop abeg dont drive past me	positive
ok oh na like this oh like play like play until e reach everybody na this kan rough play i dey hate ohh some of the technology are made in china but u see all this deadly diseases is only made in china where exactly was the world wronged china	negative
omo i borrowed someone part of the money oh baba promised to pay back with interest na beg i beg before i even see the principal in bits by that time i don chop the remaining the most stupid shit i ever did in school and i paid dearly for it‍️	negative
my heart code my partner in crime my beautiful ceciliaabioye wey i dey use take dey proud u already knw i love u so much mushin lagos	positive
this one was sent to canada through someone travelling i no dey scam oh you can try me sef	positive
correct isiewu wey fit cure hypertension even covid sef we always give you a reason to return please disturb us with your orders were capable biko	positive
na these women ụna wan give gun ellah cynthia blessing for don kill me since	negative
vals gift wey i buy for my boyfriend since neva reach him hand the person wey i send go dubai to buy another thing don come back cloth still neva show	negative
over sweet my guy i dedicate today to my dms from till date i don laugh tire our gist back then ehn that short babe suppose dey fine e been end along the line	positive
mr tayo u wicked kai abeg mk dis guy go retirement in peace now u wan add turn d already high bp to stroke haba	negative
na so dear preach the gospel abeg make e sink in	positive
swipe boohooman tie dye ss tshirt‍️ price n̶ now n off color blue size m dm to order shakarashop online shop wen sabi you sef go dey do shakara warri nigeria	positive
swipe oversized tshirt with sleeve cuffs‍️ price n̶ ️ color white size m dm to order shakarashop online shop wen sabi you sef go dey do shakara warri nigeria	positive
lmao are you ok at all you cannot just say thank you na me call na na my fault	negative
you know this️️e dey pain me say this girl no dey related to meall of them for don sleep eternal sleep	negative
so im at this house opening ceremony at onitsha mehn d house dịkwa bloody chai soso entrance door bụ mil naira frm tokyo pure bullet proof mbia banu parlour mehn e be like say i enter anoda world e fine pass office if to say e fine ihu tv bụ mil	positive
some of us broke die some of us cant even participate because the mentions already don pass our own sef may not even pop up someone like me wey no dey win giveaways or raffle i cant even try too hard	negative
lol wahala for who waste data for babe wey no go fit sub for you	negative
pikin wey fine like this suppose dey with me oh	positive
i don too drink doc i no dey sleep again na for toilet i dey always dey	negative
na wa oo so somebody cannot wash her pants and spread on the line to dry again so one fool will now come and steal the pants at gunpoint and use his destiny to buy benz which kind wahala be dis this is becoming alarming with each passing day no safe haven again	negative
na that same ibom plaza mad guy de mast in broad daylight im sure its that same idiot that slept with that mentally challenged lady‍️ this one no sweet me o coming from my town gan gan	negative
lol na this ya guy dey talk say fire service come late to iponri fire when dem com reach hose too short e come say i no get sense on top after i call am out	negative
abeg why my follower numbers dey go up n down like nigeria stock exchange as i dey so i never reach common follower he no good na	negative
na why i no dey like talk much on this app before dem go say person dey sell fake gold circle	negative
unbeatable starworld thanks for the patronage honey bunch my abuja pepper dem hang owambe ladies where una dey o	positive
read this with keen interest thinking its going to make sense at the end wetin be this	negative
what if i say make we no be friends make you be my babe cos i don dey fall and e be like say me and you we go runaway we go go america in the midnight train	positive
e be things	positive
no im not rich o not even close but since im working im goodif to say i no dey work haa	positive
where una dey see this money this morning you don chop goat meat	positive
i wan sell perfume na so i go tell this dude say he smell nice now hes becoming too friendly iz laik i don find trouble oo	negative
you like wahala abeg tinpin no even de look their face	positive
over sweet my guy i dedicate today to my dms from till date i don laugh tire our gist back then ehn that short babe suppose dey fine e been end along the line	positive
️️️️️️️️ wetin we go dey chop again now	negative
do u even care about my mental health see wetin u dey chop and i never chop since are you sure you care about me bayii	negative
as dem turn i close the video fear no make me finish am	negative
i just waka enter one supermarket for area con see complete series of the harry potter series complete and eventhe epilogue all the books in the shades of grey series abeg somebody should buy for me na twitter notification no dey let person read ebooks	positive
no nauu bless us daily if you can sef kfb	positive
lolpass to where bros better answer una just dey over hype the kind oba fit dey wonder where all the juju way una yall say him get dey	negative
lol una matter dey make me laugh here that bro dey para for you	positive
ah e don electrocute her	negative
i dey wait for client come see this woman with plantain buns bruhh i don pack am e don tey i had plantain bun and e soft die	positive
i want to love somebodys daughter so badly na me dem go dey use as model husband for prospective suitors coming to marry the other girls in the house	positive
so na ontop me you con use am abi na my head you dey flex muscle abi my god will judge you	negative
woke up am still drunk and made my way back to school people dey gap me for road i dey wonder why i no know say i dey smell like say i carry absolut baff managed to reach my room and i continued the sleep	negative
chelsea the third wey una no wan give man u before una don finally give us on a platter of gold thank you livepool worthy champs	neutral
ogs had better started working i no fit dey shalaye wen people dey banter	positive
reebok split sliders color red size uk price n̶ dm to order shakarashop online shop wen sabi you sef go dey do shakara warri nigeria	positive
k wey no go reach anything na y some no dey come office during the previous money back in sch playing whot like k don go on the spot	negative
i pray oo better dey guided and dont misguide people me wey don do my december in november	positive
before you post finish sef people don dey like the post with all my fire pictures today and i have smelling likes	negative
the guy that dies in my area egbon wey gentle omo olomo wey no like wahala stray bullet pass go meet am haa rasheed footballer	negative
you wan make dem comot boys go drive them finish	negative
my people no dey disappoint	positive
see what im talking about long day yesterday today im suppose to sleep till noon but no im up by dont think my body actually likes me	positive
hospital visit my next hospital visit na when my wife wan born sha i fit dey outside the compound sha amen	positive
na so just dey top up jameson this very deyi just dey back with and dey observe unclemark for the culture jameson ambassador	positive
my mates dey enjoy for house me i dey here dey work bye bye to independent lady i no do again	negative
your mates don watch got finish na now you dey carry book read	negative
tall boys like us na dem dey rush us	positive
lmao i was suppose to use grater but the okro no gree okro too soft know i have a lot of it to chop i just use the hennessy as an energy booster boss e no easy	negative
omo e b like say dem dey increase their salaries anytime dem take the light then at the end of the month they will now bring billdem nor get conscience	negative
if you be wetin you for do i sha pray the guy does the right thing which is making sure those girls are properly dealt with with the law shae una wan drag	positive
na all our laptop and phone batteries don spoil finish despite say we no dey comoylt am for light	negative
ive had such a day today and its not even yet i need catfish peppersoup and very cold chi exotic for iftar like this na the only thing wey fit console me be that	positive
i wonder weda na ronaldo tell ole say e wan rest	negative
still unto the bitcoin matter many of una don know by now say na be king for dat level for una wey never know na the gospel of the bitcoin we arrange give una so so make una offload all una	positive
chaii amebo no go kill me oo i just pip one guy wit one girl doing it dis morning very hot after all de say if u see something say something happy sunday frds	positive
the way im rushing this series ion wan make e finish na to dey watch episodes per day	positive
bakayoko neva still fit impress me for dis team yet defensive midfielder wen no dey impose himself na wetin dem dey call am	negative
since its your job to keep defrauding people claiming youre an artist na that cancer go kill youna people like this no dey make some clients trust us them don dey claim your work o	negative
sugari disagree with uwhichbe make mourinho go restabi u no no say jose na an nnewerianwhy e go rest wen body still strong	negative
i was so tempted to join the oluwa wetin dey gang	negative
