tweet	label
Só mais um email e para hoje trabalhei bonito ahn 🥰	positive
O pecado deve ser REMOVIDA na vida da igreja! #WordExpoInAngola	positive
II Crônicas Cap. 7 14 e se o meu povo, que se chama pelo meu nome, se humilhar, e orar, e buscar a minha face, e se converter dos seus maus caminhos, então, eu ouvirei dos céus, e perdoarei os seus pecados, e sararei a sua terra. #AngolaRepents	neutral
Em Maputo basta um gajo te mostrar onde parquear, já estás automaticamente em divida!	neutral
Opa, que bom. Sempre quis conhecer alguém do tt.😁	positive
😂😂😂😂😂😂😂😂 com direito a uma luz Azul e corrente para separar os demais	neutral
So te deixam ir ate a 3 mudança. se com isso chegas a 180? Avança . Mas normalmente é 30/40	neutral
Tens cara de fazer filhos precoses 7 nesses são suficientes	neutral
Eu, no dia que saí de casa às 10 e só voltei as 16 do dia seguinte 😂😂😂😂	neutral
Nós que nem conhecemos vamos morrer na curiosidade. 😭🤣	neutral
Será que essa geração vai continuar a rejeitar o chamado ao arrependimento? #WednesdayEternalWord	neutral
É sempre assim😂😂 o maior problema é começar, depois disso hee nem queres parar	neutral
Esse Fez estragos na minha playlist, merece ser sancionado	negative
A parte mais interessante do Projeto 💪🏽	neutral
⚠️E X C L U S I V O⚠️ "REALIZAÇÕES COMEÇAM NA MENTE 🧠" LAYZZY ZUNGUZE - MENTE 🧠 🔥 (PART. ROBER MAVILA)⤵️ E N J O Y📌🔗	neutral
- Perdem bons elogios por estarem vivos	negative
A pior coisa que um cristão faz nesta geração é abandonar/negar Jesus por causa da perseguição e viver uma vida carnal! Deus vai julgar estas pessoas. #GlobalEasterService	negative
#SteadFastWord 19. E será que qualquer pessoa que não ouvir as minhas palavras, que ele falar em meu Nome, Eu mesmo lhe pedirei contas. (Deuteronômio, 18) Ignorar essa voz tem consequências eternas Tome muito cuidado ⚠️	neutral
#MozambiqueWordExpo ♦️Um povo pecador, uma geração pecadora, uma geração que celebrou a homossexualidade e não por um dia, mas por um mês inteiro como se para provocar a DEUS.	neutral
Em alguma parte do meu país parece tudo calmo e do lado do norte tudo esta nublado, fome e muita gente abandonando as suas residencias. Eu gostaria de ajudar e farei com o pouco que tenho acredto que posso mudar o dia de alguem#CaboDelgado	positive
Já que tens fome, faça a banana chegar no teu estômago, eh!"	neutral
II Coríntios Cap. 7 | ARC 10 Porque a tristeza segundo Deus opera arrependimento para a salvação, da qual ninguém se arrepende; mas a tristeza do mundo opera a morte. A tristeza do mundo traz um arrependimento eterno e sem retorno. #AngolaRepents	neutral
Bom dia e feliz dia pra ti!	positive
O sonho ele é importante, quando você dorme e sonha. Mas apartir do momento em que você acorda, você precisa trabalhar para fazer com que esse sonho se torne realidade.	positive
Feliz aniversário atrasado mas eid comprar,🗻🏠. meus irmãos.	positive
Lulas no prato mas não as que eu quero 😴	neutral
Acho um paradoxo enorme, querer relação séria e querer ser achada/o sexy por vários/as ao mesmo tempo. 😭🙌🏽	neutral
Hong Kong negou visto de trabalho a professor norte-americano de direito LGBTQ	negative
#FeaturingResurrection ♦️ *O SENHOR está nos invocando que nunca devemos esquecer os benefícios de YAHWEH. Que Ele pode nos perdoar de todos os nossos pecados e nos tornar livres do pecado e nos levar para a GLÓRIA*	positive
😂😂😂😂😂ele sozinho pode aterrorizar os insurgentes. Swt	positive
Real tem um curandeiro man. não é possível 😭😭💙💙🤍	negative
Neymar parece puto kkjj	negative
Ficaria bonito na minha cabeça grande	positive
E ela Cara sem vergonha ainda publica isso, essa gente com essa mania de perseguir likes	negative
Niggas tão a usar Facebook como se fosse Netflix tsc	negative
Quando tou nervoso sinto coco	neutral
“Faz um desejo e me inclua na equação.”	neutral
Tenho preservativos da época de solteiro	neutral
Pergunta para sua parceira o que lhe estimula a chegar ao G. Nada melhor que transar tranquilos	positive
Cidade vazia. Hoje vai-se a qualquer lado num instante mas já há rumores que a portagem está fechada… 🫤	negative
Como somos muitos não dói. A merda anima em grupo.	neutral
Não importa se você morre hoje ou não, se for Fiel, quando a ressureicão chegar nós seremos Glorificados com Ele. #ResurrectionOfBelievers	positive
𝘿𝙞𝙖 𝙙𝙖 𝙄𝙣𝙙𝙚𝙥𝙚𝙣𝙙𝙚̂𝙣𝙘𝙞𝙖 𝙉𝙖𝙘𝙞𝙤𝙣𝙖𝙡! •.𝘋𝘪𝘢 𝘦𝘮 𝘲𝘶𝘦 𝘤𝘦𝘭𝘦𝘣𝘳𝘢𝘮𝘰𝘴 𝘢 𝘴𝘰𝘣𝘦𝘳𝘢𝘯𝘪𝘢 𝘦 𝘢 𝘚𝘦𝘨𝘶𝘳𝘢𝘯𝘤̧𝘢 𝘥𝘦 𝘔𝘰𝘤̧𝘢𝘮𝘣𝘪𝘲𝘶𝘦.• O SEGURO QUE SEGURA Av. do Zimbabwe 338, Bairro da Sommerschield . Tel: 21 488 836/7 84/82 303 9391	neutral
Amanheceu Feliz sábado para todos	positive
Camisas assim tem um charme ya	positive
O Cansaço é real.	neutral
todo aquele que e SERVO DE DEUS ANDA NA JUSTIÇA ALELUIA	positive
O que falta em nós? É o Amor. 🎯🙌🏿🔥🌍🙏🏿 #IDE #INDO #Missão #mude #MaisAmor #VidanaMissão #Ame #seliga em Maputo, Mozambique	negative
Vais ficar rico como o mano Ruy 🙏🏽😭	positive
Eu não vou atender, mas mesmo sabendo disso, ligue, só para não piorar as coisas. Preciso ver a chamada e realmente ignorar.	neutral
Esse gajo que morreu a roubar cabos, vai dizer o quê Deus?😂🤸🏾‍♀️	negative
Aqueles que fazem o bem não serão julgados, irão diretamente para o Céu, mas aqueles que não fazem a vontade de Deus, certamente irão para a segunda ressureicão, para a vergonha e horror eterno. #TheLatterRain	neutral
Wronguissimo. Que não ela disse o que lhe apoquentava, usou a plataforma para tal…aos que diziam que tinha obrigação de falar só boas coisas pedi que dirigissem as lamúrias para quem é pago para fazer isso, compromisso dela é com a verdade 😂🤷🏽‍♂️	neutral
Eu pensei que fosse fazer detox de Amapiano mas yo 😭 ta difícil. Tipo estou a amar mais	neutral
Ta dizer q posso passar do prédio dela hoje😭	neutral
Essa promessa da Glorificação diz a respeito da igreja. #WondersOfCalvaryCross	neutral
Então qual é o problema das pessoas? Chegar as 10? E ouvi dizer que se pode sair e entrar .	neutral
De facto esse foi um grande milagre que MESSIAS fez. #PromisedResurrection	positive
O segredo é ter fé em Deus! Bom dia 🇲🇿🇲🇿	positive
TODOS SOMOS CAPAZES, NÃO DEVEMOS DESISTIR POR MAIS DIFÍCIL QUE SEJA, NO FINAL VAMOS CONTAR HISTÓRIAS 😊❤️	positive
Moçambique vai defender a Ucrânia contra Rússia	neutral
O ama o homem, Ele prefere que o mesmo abandone o pecado e se volte para Ele para que não seja julgado. #TheHolyAltar	neutral
Happy Birthday Benedito Manhique Aberto à marcações: Beneditomanhique.m.com +258 843607956 em Vilankulo, Inhambane, Mozambique	positive
Pensar no livro Americanah traz sentimentos da época em que li. Eu tipo mergulhei naquele livro para sair do barulho que estava aqui fora yu	neutral
Deve ser por causa do “Olá”. Nós Homens quase q nunca nos dirigimos aos outros Homens assim.	neutral
As pessoas? 😂😂😂😂😂😂😂😂😂😂😂😂 yu. Estás certo mesmo. Yu	neutral
Respeito, esperança , humanidade e amor entre as pessoas.✊🏻🤝	positive
Se só capaz de trair uma dama? Haa nigga só com cerveja e futebol.	neutral
Nada melhor que ficar rico com a mesma garota com quem você estava falido 💯	positive
#PulpitOfEternalGospel. O destino dos que não recebem o envagelho de JESUS, você encontra lá o esmagar do lagar	neutral
Vontade de comer uma lasanha, uma pizza ou qualquer outra coisa que entre queijo muçarela 😋❤️	positive
Governo britânico pediu desculpas à rainha por festas em tempo de confinamento na residência oficial do primeiro-ministro	neutral
Moçambique é um continente.	neutral
Quer brincar com comida?	neutral
Se calhar só sentes medo atoa e nem fazes filhos	neutral
As ideias tem consequências. E as más ideias podem ter más consequências.	neutral
O Evangelho Eterno de Jesus vem para nos tirar da lama do pecado para uma terra Santa #GlobalSuperWord	neutral
Oh, Amar a Jesús é a melhor escolha que podemos fazer enquanto vivemos nesta terra. A única coisa que Jesus nunca deixou de fazer foi amar a humanidade. #WordExpoInAngola	positive
Por vezes pode haver um mal entendido e causar um impacto negativo , numa relação que tinha tudo para dar certo.	positive
Ja da para ir a Ponta? Não muito frio lá?	negative
Para varrer o quintal enquanto ainda estão a dormir. não ouviste aí!	neutral
Esse merece ser preso só pelo que diz.	negative
Chefe da SAMIM disse ter enfraquecido ataques dos rebeldes em Cabo Delgado	neutral
“Mana hoje não estás a vir dormir comigo? Não está frio aí no teu quarto?” Mãe deviam ser eternas🥺	negative
Se é lateral ofensivo claro que não vai saber defender, é só ver Marcelo	neutral
Que o Senhor me liberte de todo o pecado, pois sou pecadora e vivo num povo de lábios impuros. #FeaturingResurrection	neutral
Somos todos idiotas aos olhos de alguém. Vive tuas escolhas e seja feliz	positive
Como foi teu dia? Normal	neutral
Talvez nem está vivo.	negative
Sou de Maputo e estou solteiro	neutral
O Sangue de JESUS é a única esperança para essa geração #AngolaRepents	positive
Nunca coloque a chave da sua felicidade no bolso de outra pessoa😇❤️🙏	positive
Estou muito orgulhoso por fazer parte 👌	positive
