tweet	label
ok a chikwembo cha swi vona	positive
Auxeni Madala U bom.	positive
Mom of kids Mamana wa vanana	positive
Ni vhona bem😂😂😂	positive
mina nipfukile mara anisya helo naha yimela axikongelo xa bava MALEYANE nitatua ku ku djiwa yini atihelene😎	positive
#Topic i vona hiku na loku mihlangana anipfuxeliwi, niblockiwa ka ti social ntwrk	negative
U gama u Kuma 2 valores	negative
": Na vadwa, ani sida, a nina nuna, nita feva ku kundza, ka hissa, ka titimela, hissa, ndzeni, handle, tilhanpfe"🙈🙉🙉	neutral
Ya, no Xipamanine	positive
Mina nawena, Wena namina, #LovarÉNice utatwa kunandzika! (4×)	positive
Wa txintxa 😂😂😂😂😂🤣🤣	neutral
comekiéee 😂🙌🏽🔥 Ni speed, cumbi sfwayantswa?	positive
": Auxeni, inlhikani,li xile, ku ndjani, unga ni nhenhentsi, ni bihile, u shonguile, wa nunwa, a ni pfukanga kwatsi."😹😹😹🙈🙉🙊	positive
Auxene va makwezu.	positive
" Mina nawena, wena namina, #LovarÉNice, utatwa kunandzika ! "	positive
Famba ti kundza invejosa 🤣	negative
Wa nsila lweyii. 😪 Damnn	negative
Fvck U Pha🤣	negative
WA SWI TIVA BRODI💪	positive
Swimbenhane wa dja ku ni hembissa ja 😂😂😂😂😂😂	negative
Nisuka xokwe sweswi tani bazara ka xingangi agora	positive
Ni sungulekile khale mfana 😂	positive
Mabermuda- matilho*xa wula wula 🎶🔥🔥	neutral
nile guija ni tlangela birthday ya mina	positive
kassi wa tsonana?	negative
Ba Teka teka teka hi mani Mulato/ Ba Teka Teka Teka Hi mani Mulungo/ Ba Teka Teka Teka Hi mani Mbanyanga #XilhaulaMani	neutral
Xanga xa malembe. Xita vamba Xita buya 😍🤞👌	neutral
lol&gt&gt; shii manoo#slowly: wa biwa	negative
Hambi honi nhenha kassi wani nhenha wayi uni nhenha 🎶 Mavelevele Hustler 🔥	negative
leswi ni swi vhonaka mine	positive
KI está a criar um Vuku Vuku grande sabe	negative
AWENAAH. U mukulu. 😂	positive
Kuna Xukela, la ka mina kuna Xukela.kuna Xukela, lá ka mina kuna Xukela! 🔈🔉🔉🔉🔊🔊🔊🔊🔊🔊	neutral
Tem ni dondza primeiro para ni khanela	positive
Ih ni livrari, yu.	negative
Dzixile ohine ku pfuka	positive
sister lowi hikuya himina angatekiwange end ana vana vanarho va papa vo habana end angangeni kereka nabiya wa phuza	negative
Futsek wena eh	negative
U kundzekiwile bai.	negative
"Estrela we! U randza mane, ku mina na yena?"	neutral
HAHAHAHA FUTSEKA WENA.	negative
Hlula mine U hlula tingonyamo U ta teka tiko, I dzaco!	positive
#DesafiodeDezDias siku dza wu Muni	positive
Va delela! Ntlha	negative
sim 🙈 Teka famba	positive
Tsek wena satan	negative
he uncle miri I birthday ya nwina namutlha?	positive
A hombe. Khanimambo. Ho yini?	positive
ni nga dlawi 😂😂😂😂😂😂	negative
Ntaku Greeka wena	negative
MIta kateka loko va mi hlekula, nwina va nge mi bihili miri vana va xikwembu, tsakani hiswiswo hikuva hakelo yanwina mi tayikuma ematilweni	positive
Nwana Mutxangane i mutxangane em Praia do Bilene	positive
Definetly GOATS Alexandre Langa - Rosa Maria Pedro Langa - Mamba ya Malepfu Hortencio Langa - Lirandzu	positive
wena kumele uhambiswe…🤞🏾	neutral
Loko u va kuma va tlanga, tlanga nawenawe🎵 Loko u va kuma va tirha, tirha nawenawe🎵 Loku u va kuma va phusa.🎵 U nga kalavalewi hi vanghano mani	positive
ni khensile nd ntava nayena mundzuku	positive
I luh ya papi	positive
Eh, eh, eh. Ni livrari	negative
Wa biwa lwei😂	negative
😂😂😂😂🙌🏽 ni livrari. Txau	negative
U la kuta ka mina Ungati na usiku U zama zama kuni phazamisa . U la ku nivuyisela a gono ni meticali	negative
pfuxa: 1 Rafael Ndlhovu, ka Mavodze 2 Antoni Nyathi la Pitori 3 Cuvuka Valoyi ka Xisungele I ADOLFO KHOSA LA MOZ. KA KHUBU.	neutral
Thnx God mozambique shutdown #tag Nghena.na khensa ku tlakuriwa vanhu va mozambique Moamba, Maputo, Mozambique	positive
Teka Famba ou Gina	neutral
Vatlanga ha lona😂😂😂	neutral
Mas ni yetxi yini? 😂😂😂 Unga ni loyissi😂😂😂	negative
bona kuri wendle yini munu waxikwembu.😖🤣	neutral
Fissekane ni Barcelona yenu 😂😂😂😂 #HallaMadid 😍😍😍	negative
Teka Famba, Papu	positive
“Kasse mamana ya wena ii herioa”😭😭😹	negative
#PhaphamanaMunghana Community wee❗ Avuxeni vanhu vamisava. Woza friday, hlayisekani miyingiseri #phaphamanamunghanalonene. Ahitireni hita hola male yosaseka. ixiGwambana kusuka la a Gwambeland, vana va Gwambe na Dzavale.	positive
December ni tirhisi leswo tala ntaswi vona January Cidade De Chokwe	positive
Wa bomba Mchangani Ni bombisa ku kuma Vodacom	positive
😂😂😂😂😂😂😂 lo gaa ni kume vanwani vantswa	neutral
Round 2 ya nili kwala a Mozambique seni fikile a Maputo	neutral
😂😂😂😂 mwine mu tá biwa já. Ma ni lhekissa 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂	negative
Maji angana xi baciana lweiyo?	neutral
Aloku niku im 😛 👊_/ \_👊 ( . ) 🍆 👖 Ya ba buluko	neutral
swilo swa kona😂😂😂😂 hi voice ya Connizer	neutral
Ka dlhiwa male😋😋	positive
Ximixweni, Madanbveni, ni Usiku #SikuNiSiku	positive
Streaming live ni ri kwala Maputo. Bondia &amp;	neutral
Ceh Ina ka! I para hi ku yini?	negative
Ina ku jika jika ntsena	negative
Ali exageram ih	negative
Va makwerhu, a mungoyothaya. em Tomanine-Guijá, Gaza, Moçambique	neutral
Wa vurisa mfowethu.	neutral
Ikhali mina ni zunga waku djokuni tolovela - sg	negative
": AHAHAHAHAHAHA waHidanissaa N*sia :D :D"oh ih Xixa hahahahhaha	negative
Na Unitiva tem Opium🥺	negative
AUXENE. Moh ini ku pfuka?	positive
Ya ya ya! magoanine	neutral
Namuntlha nada baiye, a xirhame ci demanji	negative
Yuh. Vá djula ku ih hlongola ka tiku ledzi. Ih dhlawileh	negative
Ahahahahaha ih ya ya ya	neutral
Mina nile ntirhweni la Mozambique ka Khubu	positive
😭😭 ni caralile boy	negative
Nina wena kola xokwe Mozambique nilo gee 810dstv #53yrs	positive
Moya wanga u ndzunissa Hosi A moya wanga Hosi Hosi Hosi Aku ndunissa💃💃💃	positive
loko va yi rhanza cricket na	positive
Kasi swa vava ku tsikiwa 😭 Cidade De Chokwe	negative
😹😹😹😹 ih fswona ndwena, A ciku para vhaku biya dzi ta tlassa	positive
hee wenna ni tsiki	negative
hii wa ni xicha :-(	negative
Wuaa😅 swa ma SUPERA PATRICK ani tendere😅	negative
Na hanya. Aswina ku kazata.	positive
ni khome buti	negative
Yuh. Mamã. A ni ku lavi mina🕺🏿	negative
Loku u navela Ku tissunga, tissungue🕳️	negative
Wa famba o duwuliwa	negative
Famba ti gumula hi parede	negative
Futseka wena. Famba ti ginha hi xpinhosa	negative
Messi é xipoko a taku dhlaya iku bela bem	positive
Himina muyivi WA botija 😂😂😂😂😂	negative
Manter estrada que estamos a pagar?😂😂 munga hilhupi	negative
A xizame xo kwapa hi🥶	negative
Nada a swi twsisiseke	negative
Auxeni Va Jessica ni Va Jessico	positive
wa biwa wene:-D	negative
Famba ni ma Range ya wena 😂😂😂😂	negative
I tinholuene a xwi Dari	negative
Khanimambo 🙏🏾. Hi yini kupfhuka?	positive
Auxenee Tek, hoyinee ku phukaa?	positive
A Xikwembo A Xi Ku Katekisse 🙏🙏🙏	positive
Rendes Xikento ih😂	positive
Essa noite ? Swa hila	negative
15' to 326Twhii, ni mikuma kahle nirila Mozambique ka KHUBU. Adolfo Corsa Lweyi#tagXMA14	neutral
A quiet place 2. Here Hina ya famba	positive
Hi pfuki bem, a whana wa tlhangua akuna ku karata, whina ke?	positive
Para depois anga nandzike🗑🙆🏽‍♀️ leswo swa ma foto hum	negative
YABA BULUKU A FAZER HISTÓRIA	positive
Ohh hosy yanga dzi xurisse hi moya waku dzi tiya dlhelene yaku ♥️ Saudades.	positive
ni yingisele niri kola Mocambique ka chokwe thwii	positive
Kea tshosetsa mara o ke wena 🤣🤣🤣🤣	neutral
Wena unga zuzumeli, ni dzweli kumbe ni ta xava kwini a ma xiluva ntsem.	positive
Wena wa xitiva	positive
Nitafa na wena murandziwa Te amo Te amo Nitafa na wena murandziwa Te amo Te amo #Vibes	positive
#Topic akuna ku hambana vahaxi na hlonge yinwani ntsena i respect.hi bula navona ive hi share navona ka ti social	neutral
"Siku dza mundzuku adzitiviwi hi munhu, sê swayampsa utidondzela weena, ROSALINAA" Ouça #Rosalina de Keyce no #SoundCloud	positive
Hi pfhukile. A va tsongwana va thlanga. Khanimambo. Ho yini kupfhuka?	positive
Lol tavuya ka mana Thembi hahahaha aku tleleki meu irmao	neutral
Ah bro ya. 😂	positive
Nako male ya mu phuntissa	negative
kambe ira mani risimu leri hi sungulaka awara ya 7 naa. Rini tsakisa ngopfu vakaxi va mina. Rixile.	positive
nitaku panhula hi xikwe xa tiro lá 😂😂	negative
Swi mbeni. Mas vale u mielaa	negative
Hi Ta Hambana Hi Ma Central 😭😭	negative
#HHW Sesi famba uya vonana na papa face to face uhlamusela mhaka ya wena papa va rhelela moya	negative
unga ni singuite ni mumu ló	negative
Namina one day vata ni posta va beka mbilu ❤️😩	positive
Wa biwa wene	negative
Xikwembo Xanga Haleluia🙌🏾, Hi Cussa Hina Já Ya Buya🇲🇿🌍	positive
Na hina hi gud. , nambi yi txonille hi rait. 🔊🔊🇲🇿	positive
