tweet	label
Hhh ntabyihogoza, ubu x abo yishe bangana ik	negative
Amahano! Ni impanuka, inkangu, inzara. Muyite izina rikwiye.	negative
Ese umuntu aguhaye miliyoni 7 zidorali ngo aryamane numugore wawe cg umukunzi wawe wabyemera🙄?	negative
Ugira amagambo😏 kandi Ubwo wasanga nawe byagutabara. Jya uvuga uziga😏	negative
Ukuntu inama zose zikomeye zirikubera Mu Rwanda ubanza numusi wimperuka uzabera kigali 🤔	negative
Very sad! Umwana w'Ukwezi 1 koko.😠, Nyamara izi nyagabirama ziba zifite uburwayi bwo mumutwe! Ntamuntu muzima wakora aya mahano❌	negative
Azajya kwiga aho babyemera muvandi ! Ntawamuzanye ku gahato natubahiriza amabwiriza azajya ahandi leta yashyizeho amashuri menshi	negative
Ariko igitsina gore mukurahe imbaraga zituma murira iyo hapfuye umuntu muziranye?	negative
Iminsi yo yimurekere, iramubona! Bitinde bitebuke, izamufatanya n'isi bimukarange.	negative
Ntabwo abeshya ahubwo ararembye Kuko imikorere nimivugire ye igaragaza uburwayi bufite ikigero cyamujyana i Ndera kwiberayo Ubuzima bwe bwose	negative
Mf iziko yasibye EP ya kuri YouTube nizibeshye go ikadagire muri kkblock😤😤 #seriously #Rwanda	negative
Ni akazi kawe nubunywa ugatwara breathalyzer ikagufata ntuzagire ngo akamaarimaari ntikakuburiye	negative
Nkubu nibiki mudukoreye Koko? Ibaze kuba twese dutegereje Ijambo UmukuruW'🇷🇼 agiye kugeza kubanyagihugu! Tukabona umuriro ngo baa 🤔	negative
Ubaye urumukobwa, ufite million 7 munzu, umujura akinjira, akagusaba ko mwakora sex, Cg gutwara ayo amafaranga wahitamo iki?	negative
Bakwirwe imishwaro abicanyi bihishe mu Bufaransa n'ahandi! Ibigarasha n'amwe mubakurikire mudakoza ibirenge hasi!💪👊	negative
Birababaza kuba wa muntu wa nyuma ubwira ibyawe umukeneyeho ko aguhumuriza nabyo ukabibura	negative
Uyu mukobwa ari kuvuga ngo mubwire niba naramuciye inyuma kuri diane, ntabwo azi ko iby'isi aramabanga 🤣🤣	negative
nta hene ikura ngo ibe inka😂😂	negative
Wibukeko iyo umubyeyi atagira isoni zibyo akorera kukarubanda numwanawe ntabwo yamubuza kwiyandarika Abaruwanyina nyine	negative
Kubona aba followers hano bigoye kurusha uko wabona imbwa y umutuku cg amahoro muri rayon sport	negative
Iyo nama ugiriye Basile nta kuntu wabanza kuyubahiriza nawe ubwawe? Ukagerageza kumva ibyo avuze (ibyo udashaka kumva. Mwirirwe	negative
Mu batanteye agahinda ni bariya. Iyo umuntu ahisemo nabi, arangiza nabi nyine.	negative
Uriya mukobwa ikibazo afite gikomeye cyane, ni igwingira ryo mu mutwe.	negative
Kugenda namaguruse bobakaba bajyana nimodoka aho bagiye hose batitaye kubwurwo rugendo ukorungana urumva mwahurirahe	negative
Nteye akajisho k’urukiko rw’ubujurire, muri comments hariyo abantu wagirango ni abahano kumihanda 😂😂😂 gusa Taifa na Karenzi ngo bazakora ejo🥺	negative
N'imyaka yose umaze waranze kubikora😪	negative
