index	prediction
0	neutral
1	positive
2	positive
3	positive
4	positive
5	positive
6	positive
7	neutral
8	positive
9	positive
10	positive
11	positive
12	positive
13	positive
14	neutral
15	positive
16	neutral
17	neutral
18	neutral
19	neutral
20	neutral
21	neutral
22	positive
23	positive
24	positive
25	positive
26	neutral
27	positive
28	positive
29	positive
30	positive
31	positive
32	neutral
33	positive
34	positive
35	positive
36	positive
37	positive
38	positive
39	positive
40	positive
41	positive
42	positive
43	positive
44	positive
45	positive
46	neutral
47	positive
48	positive
49	positive
50	positive
51	positive
52	positive
53	positive
54	positive
55	neutral
56	positive
57	positive
58	positive
59	neutral
60	negative
61	positive
62	positive
63	positive
64	positive
65	neutral
66	positive
67	positive
68	positive
69	negative
70	positive
71	positive
72	positive
73	neutral
74	positive
75	positive
76	positive
77	neutral
78	positive
79	negative
80	positive
81	positive
82	positive
83	positive
84	positive
85	positive
86	positive
87	positive
88	positive
89	neutral
90	positive
91	negative
92	positive
93	positive
94	positive
95	positive
96	neutral
97	neutral
98	positive
99	neutral
100	neutral
101	positive
102	neutral
103	positive
104	positive
105	positive
106	positive
107	neutral
108	positive
109	positive
110	positive
111	positive
112	positive
113	positive
114	positive
115	positive
116	neutral
117	neutral
118	neutral
119	positive
120	positive
121	positive
122	positive
123	negative
124	neutral
125	positive
126	positive
127	positive
128	positive
129	neutral
130	positive
131	positive
132	positive
133	positive
134	positive
135	positive
136	positive
137	positive
138	positive
139	positive
140	positive
141	positive
142	positive
143	positive
144	positive
145	neutral
146	positive
147	positive
148	positive
149	positive
150	positive
151	positive
152	neutral
153	positive
154	positive
155	positive
156	neutral
157	negative
158	neutral
159	positive
160	positive
161	neutral
162	positive
163	positive
164	neutral
165	positive
166	positive
167	positive
168	neutral
169	positive
170	neutral
171	negative
172	positive
173	positive
174	positive
175	positive
176	positive
177	neutral
178	positive
179	positive
180	positive
181	positive
182	positive
183	positive
184	neutral
185	positive
186	positive
187	positive
188	positive
189	neutral
190	positive
191	neutral
192	positive
193	positive
194	positive
195	positive
196	neutral
197	neutral
198	positive
199	positive
200	negative
201	positive
202	positive
203	neutral
204	positive
205	neutral
206	neutral
207	positive
208	neutral
209	positive
210	positive
211	positive
212	positive
213	positive
214	positive
215	positive
216	positive
217	positive
218	positive
219	positive
220	neutral
221	positive
222	positive
223	positive
224	positive
225	positive
226	positive
227	neutral
228	positive
229	positive
230	positive
231	positive
232	positive
233	neutral
234	positive
235	positive
236	positive
237	negative
238	positive
239	positive
240	positive
241	positive
242	neutral
243	neutral
244	positive
245	positive
246	positive
247	positive
248	neutral
249	positive
250	neutral
251	positive
252	neutral
253	positive
254	neutral
255	positive
256	positive
257	positive
258	neutral
259	positive
260	positive
261	neutral
262	positive
263	neutral
264	positive
265	positive
266	neutral
267	positive
268	positive
269	positive
270	neutral
271	positive
272	positive
273	positive
274	positive
275	positive
276	positive
277	positive
278	neutral
279	neutral
280	neutral
281	positive
282	positive
283	negative
284	positive
285	positive
286	positive
287	neutral
288	positive
289	positive
290	positive
291	neutral
292	positive
293	positive
294	neutral
295	positive
296	positive
297	positive
298	positive
299	positive
300	negative
301	neutral
302	positive
303	positive
304	positive
305	positive
306	positive
307	neutral
308	positive
309	positive
310	positive
311	positive
312	positive
313	positive
314	positive
315	positive
316	positive
317	positive
318	positive
319	positive
320	positive
321	positive
322	positive
323	positive
324	positive
325	neutral
326	neutral
327	positive
328	positive
329	positive
330	positive
331	neutral
332	positive
333	positive
334	positive
335	positive
336	positive
337	negative
338	positive
339	positive
340	positive
341	neutral
342	positive
343	positive
344	positive
345	positive
346	positive
347	positive
348	neutral
349	neutral
350	negative
351	positive
352	positive
353	positive
354	positive
355	positive
356	positive
357	positive
358	positive
359	positive
360	neutral
361	positive
362	neutral
363	positive
364	positive
365	negative
366	positive
367	positive
368	positive
369	neutral
370	positive
371	positive
372	positive
373	positive
374	positive
375	positive
376	neutral
377	neutral
378	positive
379	positive
380	positive
381	positive
382	positive
383	positive
384	positive
385	positive
386	positive
387	positive
388	positive
389	positive
390	positive
391	positive
392	positive
393	positive
394	positive
395	positive
396	positive
397	positive
398	neutral
399	neutral
400	neutral
401	positive
402	positive
403	positive
404	neutral
405	positive
406	positive
407	positive
408	positive
409	positive
410	positive
411	positive
412	positive
413	positive
414	neutral
415	negative
416	positive
417	neutral
418	positive
419	positive
420	positive
421	positive
422	positive
423	positive
424	positive
425	positive
426	positive
427	positive
428	neutral
429	positive
430	positive
431	neutral
432	positive
433	positive
434	neutral
435	positive
436	positive
437	positive
438	positive
439	positive
440	positive
441	positive
442	positive
443	positive
444	positive
445	positive
446	negative
447	positive
448	positive
449	neutral
450	positive
451	positive
452	positive
453	negative
454	positive
455	positive
456	positive
457	negative
458	neutral
459	positive
460	neutral
461	positive
462	positive
463	positive
464	negative
465	positive
466	neutral
467	positive
468	negative
469	positive
470	positive
471	neutral
472	positive
473	positive
474	positive
475	positive
476	positive
477	positive
478	neutral
479	positive
480	positive
481	positive
482	positive
483	positive
484	positive
485	positive
486	positive
487	positive
488	positive
489	positive
490	positive
491	negative
492	positive
493	positive
494	positive
495	positive
496	neutral
497	positive
498	neutral
499	negative
500	positive
501	neutral
502	positive
503	positive
504	positive
505	positive
506	positive
507	negative
508	neutral
509	positive
510	positive
511	positive
512	positive
513	positive
514	positive
515	positive
516	positive
517	positive
518	positive
519	neutral
520	positive
521	positive
522	positive
523	positive
524	positive
525	positive
526	neutral
527	positive
528	positive
529	positive
530	positive
531	positive
532	positive
533	neutral
534	positive
535	positive
536	positive
537	neutral
538	positive
539	positive
540	positive
541	positive
542	neutral
543	positive
544	positive
545	positive
546	positive
547	positive
548	positive
549	neutral
550	positive
551	positive
552	positive
553	negative
554	positive
555	positive
556	positive
557	positive
558	positive
559	positive
560	positive
561	positive
562	positive
563	positive
564	neutral
565	positive
566	neutral
567	positive
568	positive
569	positive
570	neutral
571	neutral
572	positive
573	positive
574	positive
575	positive
576	positive
577	positive
578	positive
579	positive
580	positive
581	positive
582	positive
583	positive
584	neutral
585	positive
586	negative
587	positive
588	positive
589	positive
590	positive
591	positive
592	negative
593	positive
594	positive
595	positive
596	positive
597	positive
598	positive
599	positive
600	neutral
601	positive
602	positive
603	negative
604	positive
605	positive
606	neutral
607	positive
608	positive
609	positive
610	neutral
611	positive
612	positive
613	neutral
614	positive
615	positive
616	positive
617	positive
618	neutral
619	positive
620	positive
621	neutral
622	positive
623	positive
624	positive
625	positive
626	neutral
627	positive
628	negative
629	positive
630	positive
631	positive
632	neutral
633	positive
634	positive
635	positive
636	positive
637	positive
638	positive
639	positive
640	positive
641	positive
642	neutral
643	positive
644	positive
645	positive
646	neutral
647	negative
648	positive
649	positive
650	positive
651	positive
652	positive
653	positive
654	positive
655	neutral
656	neutral
657	positive
658	positive
659	positive
660	positive
661	neutral
662	positive
663	positive
664	positive
665	neutral
666	positive
667	positive
668	positive
669	positive
670	positive
671	positive
672	neutral
673	positive
674	positive
675	neutral
676	positive
677	neutral
678	positive
679	positive
680	neutral
681	neutral
682	neutral
683	positive
684	positive
685	positive
686	positive
687	negative
688	positive
689	positive
690	neutral
691	positive
692	positive
693	neutral
694	neutral
695	positive
696	positive
697	positive
698	neutral
699	positive
700	negative
701	positive
702	positive
703	positive
704	positive
705	positive
706	positive
707	positive
708	positive
709	positive
710	positive
711	neutral
712	negative
713	positive
714	positive
715	positive
716	neutral
717	positive
718	positive
719	positive
720	positive
721	positive
722	positive
723	positive
724	negative
725	positive
726	positive
727	positive
728	positive
729	positive
730	positive
731	positive
732	neutral
733	positive
734	neutral
735	positive
736	positive
737	positive
738	positive
739	positive
740	negative
741	neutral
742	neutral
743	positive
744	positive
745	positive
746	neutral
747	neutral
748	positive
749	positive
750	positive
751	neutral
752	neutral
753	positive
754	positive
755	positive
756	positive
757	positive
758	neutral
759	neutral
760	positive
761	positive
762	positive
763	positive
764	positive
765	positive
766	positive
767	positive
768	neutral
769	positive
770	neutral
771	positive
772	negative
773	positive
774	positive
775	neutral
776	positive
777	positive
778	positive
779	positive
780	positive
781	positive
782	positive
783	positive
784	neutral
785	positive
786	positive
787	positive
788	neutral
789	neutral
790	positive
791	positive
792	positive
793	positive
794	positive
795	positive
796	neutral
797	positive
798	positive
799	positive
800	positive
801	positive
802	positive
803	positive
804	positive
805	neutral
806	positive
