index	prediction
0	negative
1	negative
2	neutral
3	neutral
4	neutral
5	positive
6	positive
7	negative
8	neutral
9	positive
10	neutral
11	negative
12	neutral
13	neutral
14	neutral
15	neutral
16	neutral
17	negative
18	neutral
19	neutral
20	neutral
21	positive
22	neutral
23	neutral
24	positive
25	neutral
26	neutral
27	negative
28	neutral
29	neutral
30	negative
31	positive
32	neutral
33	negative
34	neutral
35	positive
36	negative
37	neutral
38	neutral
39	positive
40	neutral
41	positive
42	positive
43	neutral
44	neutral
45	positive
46	neutral
47	neutral
48	neutral
49	neutral
50	positive
51	neutral
52	negative
53	neutral
54	neutral
55	negative
56	neutral
57	positive
58	positive
59	neutral
60	positive
61	neutral
62	neutral
63	neutral
64	neutral
65	neutral
66	neutral
67	neutral
68	positive
69	neutral
70	neutral
71	negative
72	neutral
73	positive
74	positive
75	neutral
76	neutral
77	neutral
78	negative
79	positive
80	neutral
81	neutral
82	neutral
83	neutral
84	neutral
85	positive
86	negative
87	neutral
88	neutral
89	neutral
90	positive
91	neutral
92	positive
93	neutral
94	neutral
95	negative
96	positive
97	neutral
98	neutral
99	neutral
100	negative
101	negative
102	neutral
103	positive
104	neutral
105	negative
106	neutral
107	neutral
108	neutral
109	negative
110	positive
111	neutral
112	neutral
113	negative
114	neutral
115	positive
116	neutral
117	positive
118	negative
119	neutral
120	negative
121	neutral
122	negative
123	negative
124	neutral
125	neutral
126	positive
127	negative
128	neutral
129	neutral
130	neutral
131	positive
132	neutral
133	neutral
134	neutral
135	negative
136	neutral
137	neutral
138	neutral
139	neutral
140	negative
141	positive
142	neutral
143	neutral
144	neutral
145	negative
146	neutral
147	neutral
148	neutral
149	negative
150	neutral
151	neutral
152	neutral
153	neutral
154	negative
155	positive
156	neutral
157	neutral
158	negative
159	positive
160	positive
161	neutral
162	negative
163	negative
164	negative
165	positive
166	neutral
167	neutral
168	neutral
169	positive
170	neutral
171	negative
172	negative
173	neutral
174	neutral
175	positive
176	neutral
177	positive
178	neutral
179	negative
180	neutral
181	negative
182	neutral
183	positive
184	neutral
